data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
CCPAURQY,PA-RQ-AUTH-DATE,FIELD,X(06),ALPHANUMERIC,5,6,Date when the authorization request was initiated or received (YYMMDD format),PA-RQ-AUTH-DATE,X(6),6,0,NO,DISPLAY,,,,,CCPAURQY,1,NO,,NO,,,
CCPAURQY,PA-RQ-AUTH-TIME,FIELD,X(06),ALPHANUMERIC,5,6,Time when the authorization request was initiated or received (HHMMSS format),PA-RQ-AUTH-TIME,X(6),6,0,NO,DISPLAY,,,,,CCPAURQY,7,NO,,NO,,,
CCPAURQY,PA-RQ-CARD-NUM,FIELD,X(16),ALPHANUMERIC,5,16,Credit or debit card number associated with the authorization request,PA-RQ-CARD-NUM,X(16),16,0,NO,DISPLAY,,,,,CCPAURQY,13,NO,,NO,,,
CCPAURQY,PA-RQ-AUTH-TYPE,FIELD,X(04),ALPHANUMERIC,5,4,Type or category of authorization being requested,PA-RQ-AUTH-TYPE,X(4),4,0,NO,DISPLAY,,,,,CCPAURQY,29,NO,,NO,,,
CCPAURQY,PA-RQ-CARD-EXPIRY-DATE,FIELD,X(04),ALPHANUMERIC,5,4,Expiration date of the card used in the transaction (MMYY format),PA-RQ-CARD-EXPIRY-DATE,X(4),4,0,NO,DISPLAY,,,,,CCPAURQY,33,NO,,NO,,,
CCPAURQY,PA-RQ-MESSAGE-TYPE,FIELD,X(06),ALPHANUMERIC,5,6,Type of message being sent for the authorization request,PA-RQ-MESSAGE-TYPE,X(6),6,0,NO,DISPLAY,,,,,CCPAURQY,37,NO,,NO,,,
CCPAURQY,PA-RQ-MESSAGE-SOURCE,FIELD,X(06),ALPHANUMERIC,5,6,Source system or channel from which the authorization message originated,PA-RQ-MESSAGE-SOURCE,X(6),6,0,NO,DISPLAY,,,,,CCPAURQY,43,NO,,NO,,,
CCPAURQY,PA-RQ-PROCESSING-CODE,FIELD,9(06),NUMERIC,5,6,Processing code that identifies the type of transaction and accounts affected,PA-RQ-PROCESSING-CODE,999999,6,0,NO,DISPLAY,,,,,CCPAURQY,49,NO,,NO,,,
CCPAURQY,PA-RQ-TRANSACTION-AMT,FIELD,'+9(10).99,DECIMAL,5,7,Monetary amount of the transaction being authorized,PA-RQ-TRANSACTION-AMT,'+9(10).99,7,2,YES,DISPLAY,,,,,CCPAURQY,55,NO,,NO,,,
CCPAURQY,PA-RQ-MERCHANT-CATAGORY-CODE,FIELD,X(04),ALPHANUMERIC,5,4,Merchant Category Code (MCC) that classifies the type of business or merchant,PA-RQ-MERCHANT-CATAGORY-CODE,X(4),4,0,NO,DISPLAY,,,,,CCPAURQY,62,NO,,NO,,,
CCPAURQY,PA-RQ-ACQR-COUNTRY-CODE,FIELD,X(03),ALPHANUMERIC,5,3,Country code of the acquiring institution processing the transaction,PA-RQ-ACQR-COUNTRY-CODE,X(3),3,0,NO,DISPLAY,,,,,CCPAURQY,66,NO,,NO,,,
CCPAURQY,PA-RQ-POS-ENTRY-MODE,FIELD,9(02),NUMERIC,5,2,Point of Sale entry mode indicating how card data was captured,PA-RQ-POS-ENTRY-MODE,99,2,0,NO,DISPLAY,,,,,CCPAURQY,69,NO,,NO,,,
CCPAURQY,PA-RQ-MERCHANT-ID,FIELD,X(15),ALPHANUMERIC,5,15,Unique identifier assigned to the merchant location,PA-RQ-MERCHANT-ID,X(15),15,0,NO,DISPLAY,,,,,CCPAURQY,71,NO,,NO,,,
CCPAURQY,PA-RQ-MERCHANT-NAME,FIELD,X(22),ALPHANUMERIC,5,22,Business name of the merchant where the transaction occurred,PA-RQ-MERCHANT-NAME,X(22),22,0,NO,DISPLAY,,,,,CCPAURQY,86,NO,,NO,,,
CCPAURQY,PA-RQ-MERCHANT-CITY,FIELD,X(13),ALPHANUMERIC,5,13,City where the merchant is located,PA-RQ-MERCHANT-CITY,X(13),13,0,NO,DISPLAY,,,,,CCPAURQY,108,NO,,NO,,,
CCPAURQY,PA-RQ-MERCHANT-STATE,FIELD,X(02),ALPHANUMERIC,5,2,State or province where the merchant is located,PA-RQ-MERCHANT-STATE,X(2),2,0,NO,DISPLAY,,,,,CCPAURQY,121,NO,,NO,,,
CCPAURQY,PA-RQ-MERCHANT-ZIP,FIELD,X(09),ALPHANUMERIC,5,9,Postal or ZIP code of the merchant location,PA-RQ-MERCHANT-ZIP,X(9),9,0,NO,DISPLAY,,,,,CCPAURQY,123,NO,,NO,,,
CCPAURQY,PA-RQ-TRANSACTION-ID,FIELD,X(15),ALPHANUMERIC,5,15,Unique identifier for the authorization transaction request,PA-RQ-TRANSACTION-ID,X(15),15,0,NO,DISPLAY,,,,,CCPAURQY,132,NO,,NO,,,
