data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
CIPAUDTY,PA-AUTHORIZATION-KEY,GROUP,N/A,GROUP,5,8,Group item containing the unique key fields for pending authorization record composed of authorization date and time,PA-AUTHORIZATION-KEY,N/A,0,0,NO,DISPLAY,,,,,CIPAUDTY,1,NO,,NO,,,
CIPAUDTY,PA-AUTH-DATE-9C,FIELD,S9(05) COMP-3,PACKED,10,3,Authorization date in compressed numeric format (USAGE COMP-3),PA-AUTHORIZATION-KEY,'+/-99999,6,0,YES,COMP-3,,,,,CIPAUDTY,1,NO,,NO,,,
CIPAUDTY,PA-AUTH-TIME-9C,FIELD,S9(09) COMP-3,PACKED,10,5,Authorization time in compressed numeric format (USAGE COMP-3),PA-AUTHORIZATION-KEY,'+/-999999999,10,0,YES,COMP-3,,,,,CIPAUDTY,4,NO,,NO,,,
CIPAUDTY,PA-AUTH-ORIG-DATE,FIELD,X(06),ALPHANUMERIC,5,6,Original authorization date in character format,PA-AUTH-ORIG-DATE,X(6),6,0,NO,DISPLAY,,,,,CIPAUDTY,9,NO,,NO,,,
CIPAUDTY,PA-AUTH-ORIG-TIME,FIELD,X(06),ALPHANUMERIC,5,6,Original authorization time in character format,PA-AUTH-ORIG-TIME,X(6),6,0,NO,DISPLAY,,,,,CIPAUDTY,15,NO,,NO,,,
CIPAUDTY,PA-CARD-NUM,FIELD,X(16),ALPHANUMERIC,5,16,Credit or debit card number used for the authorization transaction,PA-CARD-NUM,X(16),16,0,NO,DISPLAY,,,,,CIPAUDTY,21,NO,,NO,,,
CIPAUDTY,PA-AUTH-TYPE,FIELD,X(04),ALPHANUMERIC,5,4,Authorization type code indicating the category of authorization request,PA-AUTH-TYPE,X(4),4,0,NO,DISPLAY,,,,,CIPAUDTY,37,NO,,NO,,,
CIPAUDTY,PA-CARD-EXPIRY-DATE,FIELD,X(04),ALPHANUMERIC,5,4,Card expiration date in MMYY format,PA-CARD-EXPIRY-DATE,X(4),4,0,NO,DISPLAY,,,,,CIPAUDTY,41,NO,,NO,,,
CIPAUDTY,PA-MESSAGE-TYPE,FIELD,X(06),ALPHANUMERIC,5,6,Type of authorization message received from the payment network,PA-MESSAGE-TYPE,X(6),6,0,NO,DISPLAY,,,,,CIPAUDTY,45,NO,,NO,,,
CIPAUDTY,PA-MESSAGE-SOURCE,FIELD,X(06),ALPHANUMERIC,5,6,Source system or network that originated the authorization message,PA-MESSAGE-SOURCE,X(6),6,0,NO,DISPLAY,,,,,CIPAUDTY,51,NO,,NO,,,
