data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
CIPAUSMY,PA-ACCT-ID,FIELD,S9(11) COMP-3,PACKED,5,6,Account identifier for the pending authorization summary record (USAGE COMP-3),PA-ACCT-ID,'+/-99999999999,12,0,YES,COMP-3,,,,,CIPAUSMY,1,NO,,NO,,,
CIPAUSMY,PA-CUST-ID,FIELD,9(09),NUMERIC,5,9,Customer identifier associated with the account,PA-CUST-ID,999999999,9,0,NO,DISPLAY,,,,,CIPAUSMY,7,NO,,NO,,,
CIPAUSMY,PA-AUTH-STATUS,FIELD,X(01),ALPHANUMERIC,5,1,Authorization status indicator code,PA-AUTH-STATUS,X,1,0,NO,DISPLAY,,,,,CIPAUSMY,16,NO,,NO,,,
CIPAUSMY,PA-ACCOUNT-STATUS,FIELD,X(02),ALPHANUMERIC,5,2,Account status codes array (OCCURS 5 TIMES),PA-ACCOUNT-STATUS,X(2),2,0,NO,DISPLAY,5,5,,,CIPAUSMY,17,NO,,NO,,,
CIPAUSMY,PA-CREDIT-LIMIT,FIELD,S9(09)V99 COMP-3,PACKED,5,6,Maximum credit limit allowed on the account (USAGE COMP-3),PA-CREDIT-LIMIT,'+/-999999999.99,13,2,YES,COMP-3,,,,,CIPAUSMY,27,NO,,NO,,,
CIPAUSMY,PA-CASH-LIMIT,FIELD,S9(09)V99 COMP-3,PACKED,5,6,Maximum cash advance limit allowed on the account (USAGE COMP-3),PA-CASH-LIMIT,'+/-999999999.99,13,2,YES,COMP-3,,,,,CIPAUSMY,33,NO,,NO,,,
CIPAUSMY,PA-CREDIT-BALANCE,FIELD,S9(09)V99 COMP-3,PACKED,5,6,Current outstanding credit balance on the account (USAGE COMP-3),PA-CREDIT-BALANCE,'+/-999999999.99,13,2,YES,COMP-3,,,,,CIPAUSMY,39,NO,,NO,,,
CIPAUSMY,PA-CASH-BALANCE,FIELD,S9(09)V99 COMP-3,PACKED,5,6,Current outstanding cash advance balance on the account (USAGE COMP-3),PA-CASH-BALANCE,'+/-999999999.99,13,2,YES,COMP-3,,,,,CIPAUSMY,45,NO,,NO,,,
CIPAUSMY,PA-APPROVED-AUTH-CNT,FIELD,S9(04) COMP,BINARY,5,2,Count of approved authorizations for the account (USAGE COMP),PA-APPROVED-AUTH-CNT,'+/-9999,5,0,YES,COMP,,,,,CIPAUSMY,51,NO,,NO,,,
CIPAUSMY,PA-DECLINED-AUTH-CNT,FIELD,S9(04) COMP,BINARY,5,2,Count of declined authorizations for the account (USAGE COMP),PA-DECLINED-AUTH-CNT,'+/-9999,5,0,YES,COMP,,,,,CIPAUSMY,53,NO,,NO,,,
CIPAUSMY,PA-APPROVED-AUTH-AMT,FIELD,S9(09)V99 COMP-3,PACKED,5,6,Total monetary amount of approved authorizations (USAGE COMP-3),PA-APPROVED-AUTH-AMT,'+/-999999999.99,13,2,YES,COMP-3,,,,,CIPAUSMY,55,NO,,NO,,,
CIPAUSMY,PA-DECLINED-AUTH-AMT,FIELD,S9(09)V99 COMP-3,PACKED,5,6,Total monetary amount of declined authorizations (USAGE COMP-3),PA-DECLINED-AUTH-AMT,'+/-999999999.99,13,2,YES,COMP-3,,,,,CIPAUSMY,61,NO,,NO,,,
CIPAUSMY,FILLER-1,FIELD,X(34),ALPHANUMERIC,5,34,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",FILLER-1,X(34),34,0,NO,DISPLAY,,,,,CIPAUSMY,67,NO,,NO,,,
