data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
IMSFUNCS,FUNC-CODES,RECORD,N/A,GROUP,1,41,Group item containing standard IMS DL/I function codes and parameter count used for database operations,FUNC-CODES,N/A,0,0,NO,DISPLAY,,,,,FUNC-CODES,1,NO,,NO,,,
IMSFUNCS,FUNC-GU,FIELD,X(04),ALPHANUMERIC,5,4,IMS DL/I Get Unique function code for retrieving a specific database segment (VALUE 'GU  '),FUNC-CODES,X(4),4,0,NO,DISPLAY,,,,,FUNC-CODES,1,NO,,NO,'GU  ',,
IMSFUNCS,FUNC-GHU,FIELD,X(04),ALPHANUMERIC,5,4,IMS DL/I Get Hold Unique function code for retrieving and locking a specific segment for update (VALUE 'GHU '),FUNC-CODES,X(4),4,0,NO,DISPLAY,,,,,FUNC-CODES,5,NO,,NO,'GHU ',,
IMSFUNCS,FUNC-GN,FIELD,X(04),ALPHANUMERIC,5,4,IMS DL/I Get Next function code for sequential retrieval of database segments (VALUE 'GN  '),FUNC-CODES,X(4),4,0,NO,DISPLAY,,,,,FUNC-CODES,9,NO,,NO,'GN  ',,
IMSFUNCS,FUNC-GHN,FIELD,X(04),ALPHANUMERIC,5,4,IMS DL/I Get Hold Next function code for sequential retrieval with lock for update (VALUE 'GHN '),FUNC-CODES,X(4),4,0,NO,DISPLAY,,,,,FUNC-CODES,13,NO,,NO,'GHN ',,
IMSFUNCS,FUNC-GNP,FIELD,X(04),ALPHANUMERIC,5,4,IMS DL/I Get Next within Parent function code for retrieving next segment under same parent (VALUE 'GNP '),FUNC-CODES,X(4),4,0,NO,DISPLAY,,,,,FUNC-CODES,17,NO,,NO,'GNP ',,
IMSFUNCS,FUNC-GHNP,FIELD,X(04),ALPHANUMERIC,5,4,IMS DL/I Get Hold Next within Parent function code for retrieving and locking next segment under same parent (VALUE 'GHNP'),FUNC-CODES,X(4),4,0,NO,DISPLAY,,,,,FUNC-CODES,21,NO,,NO,'GHNP',,
IMSFUNCS,FUNC-REPL,FIELD,X(04),ALPHANUMERIC,5,4,IMS DL/I Replace function code for updating a previously retrieved segment (VALUE 'REPL'),FUNC-CODES,X(4),4,0,NO,DISPLAY,,,,,FUNC-CODES,25,NO,,NO,'REPL',,
IMSFUNCS,FUNC-ISRT,FIELD,X(04),ALPHANUMERIC,5,4,IMS DL/I Insert function code for adding new segments to the database (VALUE 'ISRT'),FUNC-CODES,X(4),4,0,NO,DISPLAY,,,,,FUNC-CODES,29,NO,,NO,'ISRT',,
IMSFUNCS,FUNC-DLET,FIELD,X(04),ALPHANUMERIC,5,4,IMS DL/I Delete function code for removing segments from the database (VALUE 'DLET'),FUNC-CODES,X(4),4,0,NO,DISPLAY,,,,,FUNC-CODES,33,NO,,NO,'DLET',,
IMSFUNCS,PARMCOUNT,FIELD,S9(05),NUMERIC,5,5,"Parameter count for IMS DL/I calls, typically indicating number of SSAs or parameters (VALUE +4) (USAGE COMP-5)",FUNC-CODES,'+/-99999,6,0,YES,DISPLAY,,,,,FUNC-CODES,37,NO,,NO,'+4,,
