data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
PADFLPCB,PADFLPCB,RECORD,N/A,GROUP,1,291,Program Communication Block for PADFL database access. Group item containing database control information and status fields for IMS database operations.,PADFLPCB,N/A,0,0,NO,DISPLAY,,,,,PADFLPCB,1,NO,,NO,,,
PADFLPCB,PADFL-DBDNAME,FIELD,X(08),ALPHANUMERIC,5,8,Database Definition name identifying the IMS database being accessed.,PADFLPCB,X(8),8,0,NO,DISPLAY,,,,,PADFLPCB,1,NO,,NO,,,
PADFLPCB,PADFL-SEG-LEVEL,FIELD,X(02),ALPHANUMERIC,5,2,Segment level indicator showing the hierarchical level of the current segment in the database structure.,PADFLPCB,X(2),2,0,NO,DISPLAY,,,,,PADFLPCB,9,NO,,NO,,,
PADFLPCB,PADFL-PCB-STATUS,FIELD,X(02),ALPHANUMERIC,5,2,Program Communication Block status code indicating the result of the last database operation.,PADFLPCB,X(2),2,0,NO,DISPLAY,,,,,PADFLPCB,11,NO,,NO,,,
PADFLPCB,PADFL-PCB-PROCOPT,FIELD,X(04),ALPHANUMERIC,5,4,"Processing options defining the types of operations (Get, Insert, Replace, Delete) allowed for this PCB.",PADFLPCB,X(4),4,0,NO,DISPLAY,,,,,PADFLPCB,13,NO,,NO,,,
PADFLPCB,FILLER-1,FIELD,S9(05) COMP,BINARY,5,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",PADFLPCB,'+/-99999,6,0,YES,COMP,,,,,PADFLPCB,17,NO,,NO,,,
PADFLPCB,PADFL-SEG-NAME,FIELD,X(08),ALPHANUMERIC,5,8,Segment name identifying the current or target segment type in the database hierarchy.,PADFLPCB,X(8),8,0,NO,DISPLAY,,,,,PADFLPCB,21,NO,,NO,,,
PADFLPCB,PADFL-KEYFB-NAME,FIELD,S9(05) COMP,BINARY,5,4,Key feedback name length indicator. (USAGE COMP),PADFLPCB,'+/-99999,6,0,YES,COMP,,,,,PADFLPCB,29,NO,,NO,,,
PADFLPCB,PADFL-NUM-SENSEGS,FIELD,S9(05) COMP,BINARY,5,4,Number of sensitive segments defined for this PCB. (USAGE COMP),PADFLPCB,'+/-99999,6,0,YES,COMP,,,,,PADFLPCB,33,NO,,NO,,,
PADFLPCB,PADFL-KEYFB,FIELD,X(255),ALPHANUMERIC,5,255,Key feedback area containing the concatenated key of the current segment position in the database.,PADFLPCB,X(255),255,0,NO,DISPLAY,,,,,PADFLPCB,37,NO,,NO,,,
