data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
COTRTLI,CTRTLIAI,RECORD,N/A,GROUP,1,1044,Main input/output structure for transaction list screen containing transaction type selection and display fields,CTRTLIAI,N/A,0,0,NO,DISPLAY,,,,,CTRTLIAI,1,NO,,NO,,,
COTRTLI,FILLER-1,FIELD,X(12),ALPHANUMERIC,2,12,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTLIAI,X(12),12,0,NO,DISPLAY,,,,,CTRTLIAI,1,NO,,NO,,,
COTRTLI,TRNNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for transaction name (USAGE COMP),CTRTLIAI,'+/-9999,5,0,YES,COMP,,,,,CTRTLIAI,13,NO,,NO,,,
COTRTLI,TRNNAMEF,FIELD,X,ALPHANUMERIC,2,1,Flag field for transaction name,CTRTLIAI,X,1,0,NO,DISPLAY,,,,,CTRTLIAI,15,NO,,NO,,,
COTRTLI,FILLER-2,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTLIAI,N/A,0,0,NO,DISPLAY,,,,TRNNAMEF,CTRTLIAI,15,NO,,NO,,,
COTRTLI,TRNNAMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute field for transaction name (REDEFINES TRNNAMEF),FILLER-2,X,1,0,NO,DISPLAY,,,,,CTRTLIAI,15,NO,,NO,,,
COTRTLI,FILLER-3,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTLIAI,X(4),4,0,NO,DISPLAY,,,,,CTRTLIAI,16,NO,,NO,,,
COTRTLI,TRNNAMEI,FIELD,X(4),ALPHANUMERIC,2,4,Transaction name input field - 4 character transaction identifier,CTRTLIAI,X(4),4,0,NO,DISPLAY,,,,,CTRTLIAI,20,NO,,NO,,,
COTRTLI,TITLE01L,FIELD,S9(4) COMP,BINARY,2,2,Length field for first title line (USAGE COMP),CTRTLIAI,'+/-9999,5,0,YES,COMP,,,,,CTRTLIAI,24,NO,,NO,,,
COTRTLI,TITLE01F,FIELD,X,ALPHANUMERIC,2,1,Flag field for first title line,CTRTLIAI,X,1,0,NO,DISPLAY,,,,,CTRTLIAI,26,NO,,NO,,,
COTRTLI,FILLER-4,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTLIAI,N/A,0,0,NO,DISPLAY,,,,TITLE01F,CTRTLIAI,26,NO,,NO,,,
