data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
COTRTUP,CTRTUPAI,RECORD,N/A,GROUP,1,454,Input map structure for transaction type update screen containing all input fields and their attributes,CTRTUPAI,N/A,0,0,NO,DISPLAY,,,,,CTRTUPAI,1,NO,,NO,,,
COTRTUP,FILLER-1,FIELD,X(12),ALPHANUMERIC,2,12,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTUPAI,X(12),12,0,NO,DISPLAY,,,,,CTRTUPAI,1,NO,,NO,,,
COTRTUP,TRNNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for transaction name input (USAGE COMP),CTRTUPAI,'+/-9999,5,0,YES,COMP,,,,,CTRTUPAI,13,NO,,NO,,,
COTRTUP,TRNNAMEF,FIELD,X,ALPHANUMERIC,2,1,Flag byte for transaction name field,CTRTUPAI,X,1,0,NO,DISPLAY,,,,,CTRTUPAI,15,NO,,NO,,,
COTRTUP,FILLER-2,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTUPAI,N/A,0,0,NO,DISPLAY,,,,TRNNAMEF,CTRTUPAI,15,NO,,NO,,,
COTRTUP,TRNNAMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for transaction name field (REDEFINES TRNNAMEF),FILLER-2,X,1,0,NO,DISPLAY,,,,,CTRTUPAI,15,NO,,NO,,,
COTRTUP,FILLER-3,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTUPAI,X(4),4,0,NO,DISPLAY,,,,,CTRTUPAI,16,NO,,NO,,,
COTRTUP,TRNNAMEI,FIELD,X(4),ALPHANUMERIC,2,4,Transaction name input value - 4 character transaction identifier,CTRTUPAI,X(4),4,0,NO,DISPLAY,,,,,CTRTUPAI,20,NO,,NO,,,
COTRTUP,TITLE01L,FIELD,S9(4) COMP,BINARY,2,2,Length field for first title line input (USAGE COMP),CTRTUPAI,'+/-9999,5,0,YES,COMP,,,,,CTRTUPAI,24,NO,,NO,,,
COTRTUP,TITLE01F,FIELD,X,ALPHANUMERIC,2,1,Flag byte for first title field,CTRTUPAI,X,1,0,NO,DISPLAY,,,,,CTRTUPAI,26,NO,,NO,,,
COTRTUP,FILLER-4,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTUPAI,N/A,0,0,NO,DISPLAY,,,,TITLE01F,CTRTUPAI,26,NO,,NO,,,
COTRTUP,TITLE01A,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for first title field (REDEFINES TITLE01F),FILLER-4,X,1,0,NO,DISPLAY,,,,,CTRTUPAI,26,NO,,NO,,,
COTRTUP,FILLER-5,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTUPAI,X(4),4,0,NO,DISPLAY,,,,,CTRTUPAI,27,NO,,NO,,,
COTRTUP,TITLE01I,FIELD,X(40),ALPHANUMERIC,2,40,First title line input value - 40 character screen title,CTRTUPAI,X(40),40,0,NO,DISPLAY,,,,,CTRTUPAI,31,NO,,NO,,,
COTRTUP,CURDATEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for current date input (USAGE COMP),CTRTUPAI,'+/-9999,5,0,YES,COMP,,,,,CTRTUPAI,71,NO,,NO,,,
COTRTUP,CURDATEF,FIELD,X,ALPHANUMERIC,2,1,Flag byte for current date field,CTRTUPAI,X,1,0,NO,DISPLAY,,,,,CTRTUPAI,73,NO,,NO,,,
COTRTUP,FILLER-6,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTUPAI,N/A,0,0,NO,DISPLAY,,,,CURDATEF,CTRTUPAI,73,NO,,NO,,,
COTRTUP,CURDATEA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for current date field (REDEFINES CURDATEF),FILLER-6,X,1,0,NO,DISPLAY,,,,,CTRTUPAI,73,NO,,NO,,,
COTRTUP,FILLER-7,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTUPAI,X(4),4,0,NO,DISPLAY,,,,,CTRTUPAI,74,NO,,NO,,,
COTRTUP,CURDATEI,FIELD,X(8),ALPHANUMERIC,2,8,Current date input value - 8 character date field,CTRTUPAI,X(8),8,0,NO,DISPLAY,,,,,CTRTUPAI,78,NO,,NO,,,
