data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
CSDB2RWY,WS-DB2-COMMON-VARS,GROUP,N/A,GROUP,5,81,Group item containing common variables for DB2 database operations and error handling,WS-DB2-COMMON-VARS,N/A,0,0,NO,DISPLAY,,,,,CSDB2RWY,1,NO,,NO,,,
CSDB2RWY,WS-DISP-SQLCODE,FIELD,'----9,NUMERIC,10,5,Display format for DB2 SQLCODE return value used for error checking and reporting,WS-DB2-COMMON-VARS,'----9,5,0,YES,DISPLAY,,,,,CSDB2RWY,1,NO,,NO,,,
CSDB2RWY,WS-DUMMY-DB2-INT,FIELD,S9(4) COMP-3,PACKED,10,3,Dummy integer field for DB2 processing initialization (USAGE COMP-3) (VALUE 0),WS-DB2-COMMON-VARS,'+/-9999,5,0,YES,COMP-3,,,,,CSDB2RWY,6,NO,,NO,0,,
CSDB2RWY,WS-DB2-PROCESSING-FLAG,FIELD,X(1),ALPHANUMERIC,10,1,Flag indicating the status of DB2 processing operations,WS-DB2-COMMON-VARS,X,1,0,NO,DISPLAY,,,,,CSDB2RWY,9,NO,,NO,,,
CSDB2RWY,WS-DB2-OK,CONDITION,N/A,DISPLAY,88,0,Condition indicating successful DB2 operation completion (VALUE '0'),WS-DB2-PROCESSING-FLAG,N/A,0,0,NO,DISPLAY,,,,,CSDB2RWY,9,NO,,NO,,'0',
CSDB2RWY,WS-DB2-ERROR,CONDITION,N/A,DISPLAY,88,0,Condition indicating DB2 operation encountered an error (VALUE '1'),WS-DB2-PROCESSING-FLAG,N/A,0,0,NO,DISPLAY,,,,,CSDB2RWY,9,NO,,NO,,'1',
CSDB2RWY,WS-DB2-CURRENT-ACTION,FIELD,X(72),ALPHANUMERIC,10,72,Description of the current DB2 action being performed for logging and error reporting (VALUE SPACES),WS-DB2-COMMON-VARS,X(72),72,0,NO,DISPLAY,,,,,CSDB2RWY,10,NO,,NO,SPACES,,
CSDB2RWY,WS-DSNTIAC-FORMATTED,GROUP,N/A,GROUP,5,722,Group item for formatting DB2 DSNTIAC utility messages,WS-DSNTIAC-FORMATTED,N/A,0,0,NO,DISPLAY,,,,,CSDB2RWY,82,NO,,NO,,,
CSDB2RWY,WS-DSNTIAC-MESG-LEN,FIELD,S9(4) COMP,BINARY,10,2,Length of the DSNTIAC formatted message text (USAGE COMP) (VALUE +720),WS-DSNTIAC-FORMATTED,'+/-9999,5,0,YES,COMP,,,,,CSDB2RWY,82,NO,,NO,'+720,,
CSDB2RWY,WS-DSNTIAC-FMTD-TEXT,GROUP,N/A,GROUP,10,720,Container for formatted DSNTIAC message text lines,WS-DSNTIAC-FORMATTED,N/A,0,0,NO,DISPLAY,,,,,CSDB2RWY,84,NO,,NO,,,
CSDB2RWY,WS-DSNTIAC-FMTD-TEXT-LINE,FIELD,X(72),ALPHANUMERIC,15,72,Individual line of DSNTIAC formatted message text (OCCURS 10) (VALUE SPACES),WS-DSNTIAC-FMTD-TEXT,X(72),72,0,NO,DISPLAY,10,10,,,CSDB2RWY,84,NO,,NO,SPACES,,
CSDB2RWY,WS-DSNTIAC-LRECL,FIELD,S9(4) COMP,BINARY,5,2,Logical record length for DSNTIAC message processing (USAGE COMP) (VALUE +72),WS-DSNTIAC-LRECL,'+/-9999,5,0,YES,COMP,,,,,CSDB2RWY,804,NO,,NO,'+72,,
CSDB2RWY,WS-DSNTIAC-ERROR,GROUP,N/A,GROUP,5,12,Group item for DSNTIAC error message construction,WS-DSNTIAC-ERROR,N/A,0,0,NO,DISPLAY,,,,,CSDB2RWY,806,NO,,NO,,,
CSDB2RWY,WS-DSNTIAC-ERR-MSG,FIELD,X(10),ALPHANUMERIC,10,10,DSNTIAC error message prefix identifier (VALUE 'DSNTIAC CD'),WS-DSNTIAC-ERROR,X(10),10,0,NO,DISPLAY,,,,,CSDB2RWY,806,NO,,NO,'DSNTIAC CD',,
CSDB2RWY,WS-DSNTIAC-ERR-CD-X,FIELD,X(02),ALPHANUMERIC,10,2,Error code in character format (VALUE SPACES),WS-DSNTIAC-ERROR,X(2),2,0,NO,DISPLAY,,,,,CSDB2RWY,816,NO,,NO,SPACES,,
CSDB2RWY,WS-DSNTIAC-ERR-CD,FIELD,9(02),NUMERIC,10,2,Error code in numeric format (REDEFINES WS-DSNTIAC-ERR-CD-X),WS-DSNTIAC-ERROR,99,2,0,NO,DISPLAY,,,,WS-DSNTIAC-ERR-CD-X,CSDB2RWY,816,NO,,NO,,,
