data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
COACTUP,CACTUPAI,RECORD,N/A,GROUP,1,1095,Main input map structure for account update transaction screen,CACTUPAI,N/A,0,0,NO,DISPLAY,,,,,CACTUPAI,1,NO,,NO,,,
COACTUP,FILLER-1,FIELD,X(12),ALPHANUMERIC,2,12,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CACTUPAI,X(12),12,0,NO,DISPLAY,,,,,CACTUPAI,1,NO,,NO,,,
COACTUP,TRNNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for transaction name (USAGE COMP),CACTUPAI,'+/-9999,5,0,YES,COMP,,,,,CACTUPAI,13,NO,,NO,,,
COACTUP,TRNNAMEF,FIELD,X,ALPHANUMERIC,2,1,Flag field for transaction name,CACTUPAI,X,1,0,NO,DISPLAY,,,,,CACTUPAI,15,NO,,NO,,,
COACTUP,FILLER-2,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CACTUPAI,N/A,0,0,NO,DISPLAY,,,,TRNNAMEF,CACTUPAI,15,NO,,NO,,,
COACTUP,TRNNAMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute field for transaction name (REDEFINES TRNNAMEF),FILLER-2,X,1,0,NO,DISPLAY,,,,,CACTUPAI,15,NO,,NO,,,
COACTUP,FILLER-3,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CACTUPAI,X(4),4,0,NO,DISPLAY,,,,,CACTUPAI,16,NO,,NO,,,
COACTUP,TRNNAMEI,FIELD,X(4),ALPHANUMERIC,2,4,Transaction name input field - identifies the type of transaction being processed,CACTUPAI,X(4),4,0,NO,DISPLAY,,,,,CACTUPAI,20,NO,,NO,,,
COACTUP,TITLE01L,FIELD,S9(4) COMP,BINARY,2,2,Length field for first title line (USAGE COMP),CACTUPAI,'+/-9999,5,0,YES,COMP,,,,,CACTUPAI,24,NO,,NO,,,
COACTUP,TITLE01F,FIELD,X,ALPHANUMERIC,2,1,Flag field for first title line,CACTUPAI,X,1,0,NO,DISPLAY,,,,,CACTUPAI,26,NO,,NO,,,
COACTUP,FILLER-4,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CACTUPAI,N/A,0,0,NO,DISPLAY,,,,TITLE01F,CACTUPAI,26,NO,,NO,,,
COACTUP,TITLE01A,FIELD,X,ALPHANUMERIC,3,1,Attribute field for first title line (REDEFINES TITLE01F),FILLER-4,X,1,0,NO,DISPLAY,,,,,CACTUPAI,26,NO,,NO,,,
COACTUP,FILLER-5,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CACTUPAI,X(4),4,0,NO,DISPLAY,,,,,CACTUPAI,27,NO,,NO,,,
COACTUP,TITLE01I,FIELD,X(40),ALPHANUMERIC,2,40,First title line input field - screen header or title text,CACTUPAI,X(40),40,0,NO,DISPLAY,,,,,CACTUPAI,31,NO,,NO,,,
COACTUP,CURDATEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for current date (USAGE COMP),CACTUPAI,'+/-9999,5,0,YES,COMP,,,,,CACTUPAI,71,NO,,NO,,,
COACTUP,CURDATEF,FIELD,X,ALPHANUMERIC,2,1,Flag field for current date,CACTUPAI,X,1,0,NO,DISPLAY,,,,,CACTUPAI,73,NO,,NO,,,
COACTUP,FILLER-6,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CACTUPAI,N/A,0,0,NO,DISPLAY,,,,CURDATEF,CACTUPAI,73,NO,,NO,,,
COACTUP,CURDATEA,FIELD,X,ALPHANUMERIC,3,1,Attribute field for current date (REDEFINES CURDATEF),FILLER-6,X,1,0,NO,DISPLAY,,,,,CACTUPAI,73,NO,,NO,,,
COACTUP,FILLER-7,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CACTUPAI,X(4),4,0,NO,DISPLAY,,,,,CACTUPAI,74,NO,,NO,,,
COACTUP,CURDATEI,FIELD,X(8),ALPHANUMERIC,2,8,Current date input field - system or transaction date,CACTUPAI,X(8),8,0,NO,DISPLAY,,,,,CACTUPAI,78,NO,,NO,,,
COACTUP,PGMNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for program name (USAGE COMP),CACTUPAI,'+/-9999,5,0,YES,COMP,,,,,CACTUPAI,86,NO,,NO,,,
COACTUP,PGMNAMEF,FIELD,X,ALPHANUMERIC,2,1,Flag field for program name,CACTUPAI,X,1,0,NO,DISPLAY,,,,,CACTUPAI,88,NO,,NO,,,
COACTUP,FILLER-8,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CACTUPAI,N/A,0,0,NO,DISPLAY,,,,PGMNAMEF,CACTUPAI,88,NO,,NO,,,
COACTUP,PGMNAMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute field for program name (REDEFINES PGMNAMEF),FILLER-8,X,1,0,NO,DISPLAY,,,,,CACTUPAI,88,NO,,NO,,,
COACTUP,FILLER-9,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CACTUPAI,X(4),4,0,NO,DISPLAY,,,,,CACTUPAI,89,NO,,NO,,,
COACTUP,PGMNAMEI,FIELD,X(8),ALPHANUMERIC,2,8,Program name input field - identifies the executing program,CACTUPAI,X(8),8,0,NO,DISPLAY,,,,,CACTUPAI,93,NO,,NO,,,
COACTUP,TITLE02L,FIELD,S9(4) COMP,BINARY,2,2,Length field for second title line (USAGE COMP),CACTUPAI,'+/-9999,5,0,YES,COMP,,,,,CACTUPAI,101,NO,,NO,,,
