data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
COACTVW,CACTVWAI,RECORD,N/A,GROUP,1,955,Main input map structure for account view screen containing all input fields from the 3270 terminal,CACTVWAI,N/A,0,0,NO,DISPLAY,,,,,CACTVWAI,1,NO,,NO,,,
COACTVW,FILLER-1,FIELD,X(12),ALPHANUMERIC,2,12,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CACTVWAI,X(12),12,0,NO,DISPLAY,,,,,CACTVWAI,1,NO,,NO,,,
COACTVW,TRNNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for transaction name input (USAGE COMP),CACTVWAI,'+/-9999,5,0,YES,COMP,,,,,CACTVWAI,13,NO,,NO,,,
COACTVW,TRNNAMEF,FIELD,X,ALPHANUMERIC,2,1,Flag byte for transaction name field,CACTVWAI,X,1,0,NO,DISPLAY,,,,,CACTVWAI,15,NO,,NO,,,
COACTVW,FILLER-2,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CACTVWAI,N/A,0,0,NO,DISPLAY,,,,TRNNAMEF,CACTVWAI,15,NO,,NO,,,
COACTVW,TRNNAMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for transaction name field (REDEFINES TRNNAMEF),FILLER-2,X,1,0,NO,DISPLAY,,,,,CACTVWAI,15,NO,,NO,,,
COACTVW,FILLER-3,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CACTVWAI,X(4),4,0,NO,DISPLAY,,,,,CACTVWAI,16,NO,,NO,,,
COACTVW,TRNNAMEI,FIELD,X(4),ALPHANUMERIC,2,4,Transaction name input field - 4 character transaction code,CACTVWAI,X(4),4,0,NO,DISPLAY,,,,,CACTVWAI,20,NO,,NO,,,
COACTVW,TITLE01L,FIELD,S9(4) COMP,BINARY,2,2,Length field for first title line input (USAGE COMP),CACTVWAI,'+/-9999,5,0,YES,COMP,,,,,CACTVWAI,24,NO,,NO,,,
COACTVW,TITLE01F,FIELD,X,ALPHANUMERIC,2,1,Flag byte for first title field,CACTVWAI,X,1,0,NO,DISPLAY,,,,,CACTVWAI,26,NO,,NO,,,
COACTVW,FILLER-4,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CACTVWAI,N/A,0,0,NO,DISPLAY,,,,TITLE01F,CACTVWAI,26,NO,,NO,,,
COACTVW,TITLE01A,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for first title field (REDEFINES TITLE01F),FILLER-4,X,1,0,NO,DISPLAY,,,,,CACTVWAI,26,NO,,NO,,,
COACTVW,FILLER-5,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CACTVWAI,X(4),4,0,NO,DISPLAY,,,,,CACTVWAI,27,NO,,NO,,,
COACTVW,TITLE01I,FIELD,X(40),ALPHANUMERIC,2,40,First title line input field - 40 character screen title,CACTVWAI,X(40),40,0,NO,DISPLAY,,,,,CACTVWAI,31,NO,,NO,,,
COACTVW,CURDATEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for current date input (USAGE COMP),CACTVWAI,'+/-9999,5,0,YES,COMP,,,,,CACTVWAI,71,NO,,NO,,,
COACTVW,CURDATEF,FIELD,X,ALPHANUMERIC,2,1,Flag byte for current date field,CACTVWAI,X,1,0,NO,DISPLAY,,,,,CACTVWAI,73,NO,,NO,,,
COACTVW,FILLER-6,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CACTVWAI,N/A,0,0,NO,DISPLAY,,,,CURDATEF,CACTVWAI,73,NO,,NO,,,
COACTVW,CURDATEA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for current date field (REDEFINES CURDATEF),FILLER-6,X,1,0,NO,DISPLAY,,,,,CACTVWAI,73,NO,,NO,,,
COACTVW,FILLER-7,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CACTVWAI,X(4),4,0,NO,DISPLAY,,,,,CACTVWAI,74,NO,,NO,,,
COACTVW,CURDATEI,FIELD,X(8),ALPHANUMERIC,2,8,Current date input field - 8 character date value,CACTVWAI,X(8),8,0,NO,DISPLAY,,,,,CACTVWAI,78,NO,,NO,,,
COACTVW,PGMNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for program name input (USAGE COMP),CACTVWAI,'+/-9999,5,0,YES,COMP,,,,,CACTVWAI,86,NO,,NO,,,
COACTVW,PGMNAMEF,FIELD,X,ALPHANUMERIC,2,1,Flag byte for program name field,CACTVWAI,X,1,0,NO,DISPLAY,,,,,CACTVWAI,88,NO,,NO,,,
COACTVW,FILLER-8,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CACTVWAI,N/A,0,0,NO,DISPLAY,,,,PGMNAMEF,CACTVWAI,88,NO,,NO,,,
COACTVW,PGMNAMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for program name field (REDEFINES PGMNAMEF),FILLER-8,X,1,0,NO,DISPLAY,,,,,CACTVWAI,88,NO,,NO,,,
COACTVW,FILLER-9,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CACTVWAI,X(4),4,0,NO,DISPLAY,,,,,CACTVWAI,89,NO,,NO,,,
COACTVW,PGMNAMEI,FIELD,X(8),ALPHANUMERIC,2,8,Program name input field - 8 character program identifier,CACTVWAI,X(8),8,0,NO,DISPLAY,,,,,CACTVWAI,93,NO,,NO,,,
COACTVW,TITLE02L,FIELD,S9(4) COMP,BINARY,2,2,Length field for second title line input (USAGE COMP),CACTVWAI,'+/-9999,5,0,YES,COMP,,,,,CACTVWAI,101,NO,,NO,,,
COACTVW,TITLE02F,FIELD,X,ALPHANUMERIC,2,1,Flag byte for second title field,CACTVWAI,X,1,0,NO,DISPLAY,,,,,CACTVWAI,103,NO,,NO,,,
COACTVW,FILLER-10,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CACTVWAI,N/A,0,0,NO,DISPLAY,,,,TITLE02F,CACTVWAI,103,NO,,NO,,,
COACTVW,TITLE02A,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for second title field (REDEFINES TITLE02F),FILLER-10,X,1,0,NO,DISPLAY,,,,,CACTVWAI,103,NO,,NO,,,
COACTVW,FILLER-11,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CACTVWAI,X(4),4,0,NO,DISPLAY,,,,,CACTVWAI,104,NO,,NO,,,
COACTVW,TITLE02I,FIELD,X(40),ALPHANUMERIC,2,40,Second title line input field - 40 character subtitle,CACTVWAI,X(40),40,0,NO,DISPLAY,,,,,CACTVWAI,108,NO,,NO,,,
COACTVW,CURTIMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for current time input (USAGE COMP),CACTVWAI,'+/-9999,5,0,YES,COMP,,,,,CACTVWAI,148,NO,,NO,,,
COACTVW,CURTIMEF,FIELD,X,ALPHANUMERIC,2,1,Flag byte for current time field,CACTVWAI,X,1,0,NO,DISPLAY,,,,,CACTVWAI,150,NO,,NO,,,
COACTVW,FILLER-12,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CACTVWAI,N/A,0,0,NO,DISPLAY,,,,CURTIMEF,CACTVWAI,150,NO,,NO,,,
COACTVW,CURTIMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for current time field (REDEFINES CURTIMEF),FILLER-12,X,1,0,NO,DISPLAY,,,,,CACTVWAI,150,NO,,NO,,,
COACTVW,FILLER-13,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CACTVWAI,X(4),4,0,NO,DISPLAY,,,,,CACTVWAI,151,NO,,NO,,,
COACTVW,CURTIMEI,FIELD,X(8),ALPHANUMERIC,2,8,Current time input field - 8 character time value,CACTVWAI,X(8),8,0,NO,DISPLAY,,,,,CACTVWAI,155,NO,,NO,,,
COACTVW,ACCTSIDL,FIELD,S9(4) COMP,BINARY,2,2,Length field for account ID input (USAGE COMP),CACTVWAI,'+/-9999,5,0,YES,COMP,,,,,CACTVWAI,163,NO,,NO,,,
