data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
COADM01,COADM1AI,RECORD,N/A,GROUP,1,820,"Main input map structure for administrative menu screen containing transaction name, titles, date/time fields, menu options, and error message",COADM1AI,N/A,0,0,NO,DISPLAY,,,,,COADM1AI,1,NO,,NO,,,
COADM01,FILLER-1,FIELD,X(12),ALPHANUMERIC,2,12,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COADM1AI,X(12),12,0,NO,DISPLAY,,,,,COADM1AI,1,NO,,NO,,,
COADM01,TRNNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for transaction name input (USAGE COMP),COADM1AI,'+/-9999,5,0,YES,COMP,,,,,COADM1AI,13,NO,,NO,,,
COADM01,TRNNAMEF,FIELD,X,ALPHANUMERIC,2,1,Flag field for transaction name input,COADM1AI,X,1,0,NO,DISPLAY,,,,,COADM1AI,15,NO,,NO,,,
COADM01,FILLER-2,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COADM1AI,N/A,0,0,NO,DISPLAY,,,,TRNNAMEF,COADM1AI,15,NO,,NO,,,
COADM01,TRNNAMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute field for transaction name input (REDEFINES TRNNAMEF),FILLER-2,X,1,0,NO,DISPLAY,,,,,COADM1AI,15,NO,,NO,,,
COADM01,FILLER-3,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COADM1AI,X(4),4,0,NO,DISPLAY,,,,,COADM1AI,16,NO,,NO,,,
COADM01,TRNNAMEI,FIELD,X(4),ALPHANUMERIC,2,4,Transaction name input field - identifies the transaction code being executed,COADM1AI,X(4),4,0,NO,DISPLAY,,,,,COADM1AI,20,NO,,NO,,,
COADM01,TITLE01L,FIELD,S9(4) COMP,BINARY,2,2,Length field for first title line input (USAGE COMP),COADM1AI,'+/-9999,5,0,YES,COMP,,,,,COADM1AI,24,NO,,NO,,,
COADM01,TITLE01F,FIELD,X,ALPHANUMERIC,2,1,Flag field for first title line input,COADM1AI,X,1,0,NO,DISPLAY,,,,,COADM1AI,26,NO,,NO,,,
COADM01,FILLER-4,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COADM1AI,N/A,0,0,NO,DISPLAY,,,,TITLE01F,COADM1AI,26,NO,,NO,,,
COADM01,TITLE01A,FIELD,X,ALPHANUMERIC,3,1,Attribute field for first title line input (REDEFINES TITLE01F),FILLER-4,X,1,0,NO,DISPLAY,,,,,COADM1AI,26,NO,,NO,,,
COADM01,FILLER-5,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COADM1AI,X(4),4,0,NO,DISPLAY,,,,,COADM1AI,27,NO,,NO,,,
