data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
COBIL00,COBIL0AI,RECORD,N/A,GROUP,1,294,Main input structure for BMS map containing all input fields from the screen,COBIL0AI,N/A,0,0,NO,DISPLAY,,,,,COBIL0AI,1,NO,,NO,,,
COBIL00,FILLER-1,FIELD,X(12),ALPHANUMERIC,2,12,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COBIL0AI,X(12),12,0,NO,DISPLAY,,,,,COBIL0AI,1,NO,,NO,,,
COBIL00,TRNNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for transaction name input (USAGE COMP),COBIL0AI,'+/-9999,5,0,YES,COMP,,,,,COBIL0AI,13,NO,,NO,,,
COBIL00,TRNNAMEF,FIELD,X,ALPHANUMERIC,2,1,Flag byte for transaction name field,COBIL0AI,X,1,0,NO,DISPLAY,,,,,COBIL0AI,15,NO,,NO,,,
COBIL00,FILLER-2,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COBIL0AI,N/A,0,0,NO,DISPLAY,,,,TRNNAMEF,COBIL0AI,15,NO,,NO,,,
COBIL00,TRNNAMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for transaction name field (REDEFINES TRNNAMEF),FILLER-2,X,1,0,NO,DISPLAY,,,,,COBIL0AI,15,NO,,NO,,,
COBIL00,FILLER-3,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COBIL0AI,X(4),4,0,NO,DISPLAY,,,,,COBIL0AI,16,NO,,NO,,,
COBIL00,TRNNAMEI,FIELD,X(4),ALPHANUMERIC,2,4,Transaction name input field - 4 character transaction code,COBIL0AI,X(4),4,0,NO,DISPLAY,,,,,COBIL0AI,20,NO,,NO,,,
COBIL00,TITLE01L,FIELD,S9(4) COMP,BINARY,2,2,Length field for first title line input (USAGE COMP),COBIL0AI,'+/-9999,5,0,YES,COMP,,,,,COBIL0AI,24,NO,,NO,,,
COBIL00,TITLE01F,FIELD,X,ALPHANUMERIC,2,1,Flag byte for first title field,COBIL0AI,X,1,0,NO,DISPLAY,,,,,COBIL0AI,26,NO,,NO,,,
COBIL00,FILLER-4,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COBIL0AI,N/A,0,0,NO,DISPLAY,,,,TITLE01F,COBIL0AI,26,NO,,NO,,,
COBIL00,TITLE01A,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for first title field (REDEFINES TITLE01F),FILLER-4,X,1,0,NO,DISPLAY,,,,,COBIL0AI,26,NO,,NO,,,
