data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
COCRDLI,CCRDLIAI,RECORD,N/A,GROUP,1,797,Main input structure for credit card list screen containing all input fields from the BMS map,CCRDLIAI,N/A,0,0,NO,DISPLAY,,,,,CCRDLIAI,1,NO,,NO,,,
COCRDLI,FILLER-1,FIELD,X(12),ALPHANUMERIC,2,12,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDLIAI,X(12),12,0,NO,DISPLAY,,,,,CCRDLIAI,1,NO,,NO,,,
COCRDLI,TRNNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for transaction name input (USAGE COMP),CCRDLIAI,'+/-9999,5,0,YES,COMP,,,,,CCRDLIAI,13,NO,,NO,,,
COCRDLI,TRNNAMEF,FIELD,X,ALPHANUMERIC,2,1,Flag byte for transaction name field,CCRDLIAI,X,1,0,NO,DISPLAY,,,,,CCRDLIAI,15,NO,,NO,,,
COCRDLI,FILLER-2,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDLIAI,N/A,0,0,NO,DISPLAY,,,,TRNNAMEF,CCRDLIAI,15,NO,,NO,,,
COCRDLI,TRNNAMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for transaction name field (REDEFINES TRNNAMEF),FILLER-2,X,1,0,NO,DISPLAY,,,,,CCRDLIAI,15,NO,,NO,,,
COCRDLI,FILLER-3,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDLIAI,X(4),4,0,NO,DISPLAY,,,,,CCRDLIAI,16,NO,,NO,,,
COCRDLI,TRNNAMEI,FIELD,X(4),ALPHANUMERIC,2,4,Transaction name input field - 4 character transaction code,CCRDLIAI,X(4),4,0,NO,DISPLAY,,,,,CCRDLIAI,20,NO,,NO,,,
COCRDLI,TITLE01L,FIELD,S9(4) COMP,BINARY,2,2,Length field for first title line input (USAGE COMP),CCRDLIAI,'+/-9999,5,0,YES,COMP,,,,,CCRDLIAI,24,NO,,NO,,,
COCRDLI,TITLE01F,FIELD,X,ALPHANUMERIC,2,1,Flag byte for first title field,CCRDLIAI,X,1,0,NO,DISPLAY,,,,,CCRDLIAI,26,NO,,NO,,,
COCRDLI,FILLER-4,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDLIAI,N/A,0,0,NO,DISPLAY,,,,TITLE01F,CCRDLIAI,26,NO,,NO,,,
COCRDLI,TITLE01A,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for first title field (REDEFINES TITLE01F),FILLER-4,X,1,0,NO,DISPLAY,,,,,CCRDLIAI,26,NO,,NO,,,
COCRDLI,FILLER-5,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDLIAI,X(4),4,0,NO,DISPLAY,,,,,CCRDLIAI,27,NO,,NO,,,
COCRDLI,TITLE01I,FIELD,X(40),ALPHANUMERIC,2,40,First title line input field - 40 character screen title,CCRDLIAI,X(40),40,0,NO,DISPLAY,,,,,CCRDLIAI,31,NO,,NO,,,
COCRDLI,CURDATEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for current date input (USAGE COMP),CCRDLIAI,'+/-9999,5,0,YES,COMP,,,,,CCRDLIAI,71,NO,,NO,,,
COCRDLI,CURDATEF,FIELD,X,ALPHANUMERIC,2,1,Flag byte for current date field,CCRDLIAI,X,1,0,NO,DISPLAY,,,,,CCRDLIAI,73,NO,,NO,,,
COCRDLI,FILLER-6,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDLIAI,N/A,0,0,NO,DISPLAY,,,,CURDATEF,CCRDLIAI,73,NO,,NO,,,
COCRDLI,CURDATEA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for current date field (REDEFINES CURDATEF),FILLER-6,X,1,0,NO,DISPLAY,,,,,CCRDLIAI,73,NO,,NO,,,
COCRDLI,FILLER-7,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDLIAI,X(4),4,0,NO,DISPLAY,,,,,CCRDLIAI,74,NO,,NO,,,
COCRDLI,CURDATEI,FIELD,X(8),ALPHANUMERIC,2,8,Current date input field - 8 character date value,CCRDLIAI,X(8),8,0,NO,DISPLAY,,,,,CCRDLIAI,78,NO,,NO,,,
COCRDLI,PGMNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for program name input (USAGE COMP),CCRDLIAI,'+/-9999,5,0,YES,COMP,,,,,CCRDLIAI,86,NO,,NO,,,
COCRDLI,PGMNAMEF,FIELD,X,ALPHANUMERIC,2,1,Flag byte for program name field,CCRDLIAI,X,1,0,NO,DISPLAY,,,,,CCRDLIAI,88,NO,,NO,,,
COCRDLI,FILLER-8,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDLIAI,N/A,0,0,NO,DISPLAY,,,,PGMNAMEF,CCRDLIAI,88,NO,,NO,,,
COCRDLI,PGMNAMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for program name field (REDEFINES PGMNAMEF),FILLER-8,X,1,0,NO,DISPLAY,,,,,CCRDLIAI,88,NO,,NO,,,
COCRDLI,FILLER-9,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDLIAI,X(4),4,0,NO,DISPLAY,,,,,CCRDLIAI,89,NO,,NO,,,
COCRDLI,PGMNAMEI,FIELD,X(8),ALPHANUMERIC,2,8,Program name input field - 8 character program identifier,CCRDLIAI,X(8),8,0,NO,DISPLAY,,,,,CCRDLIAI,93,NO,,NO,,,
COCRDLI,TITLE02L,FIELD,S9(4) COMP,BINARY,2,2,Length field for second title line input (USAGE COMP),CCRDLIAI,'+/-9999,5,0,YES,COMP,,,,,CCRDLIAI,101,NO,,NO,,,
COCRDLI,TITLE02F,FIELD,X,ALPHANUMERIC,2,1,Flag byte for second title field,CCRDLIAI,X,1,0,NO,DISPLAY,,,,,CCRDLIAI,103,NO,,NO,,,
COCRDLI,FILLER-10,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDLIAI,N/A,0,0,NO,DISPLAY,,,,TITLE02F,CCRDLIAI,103,NO,,NO,,,
COCRDLI,TITLE02A,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for second title field (REDEFINES TITLE02F),FILLER-10,X,1,0,NO,DISPLAY,,,,,CCRDLIAI,103,NO,,NO,,,
COCRDLI,FILLER-11,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDLIAI,X(4),4,0,NO,DISPLAY,,,,,CCRDLIAI,104,NO,,NO,,,
