data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
COCRDSL,CCRDSLAI,RECORD,N/A,GROUP,1,504,Input map structure for credit card detail screen containing all input fields and their attributes,CCRDSLAI,N/A,0,0,NO,DISPLAY,,,,,CCRDSLAI,1,NO,,NO,,,
COCRDSL,FILLER-1,FIELD,X(12),ALPHANUMERIC,2,12,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDSLAI,X(12),12,0,NO,DISPLAY,,,,,CCRDSLAI,1,NO,,NO,,,
COCRDSL,TRNNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for transaction name input (USAGE COMP),CCRDSLAI,'+/-9999,5,0,YES,COMP,,,,,CCRDSLAI,13,NO,,NO,,,
COCRDSL,TRNNAMEF,FIELD,X,ALPHANUMERIC,2,1,Flag field for transaction name indicating field attributes,CCRDSLAI,X,1,0,NO,DISPLAY,,,,,CCRDSLAI,15,NO,,NO,,,
COCRDSL,FILLER-2,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDSLAI,N/A,0,0,NO,DISPLAY,,,,TRNNAMEF,CCRDSLAI,15,NO,,NO,,,
COCRDSL,TRNNAMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for transaction name field (REDEFINES TRNNAMEF),FILLER-2,X,1,0,NO,DISPLAY,,,,,CCRDSLAI,15,NO,,NO,,,
COCRDSL,FILLER-3,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDSLAI,X(4),4,0,NO,DISPLAY,,,,,CCRDSLAI,16,NO,,NO,,,
COCRDSL,TRNNAMEI,FIELD,X(4),ALPHANUMERIC,2,4,Transaction name input value - 4 character transaction code,CCRDSLAI,X(4),4,0,NO,DISPLAY,,,,,CCRDSLAI,20,NO,,NO,,,
COCRDSL,TITLE01L,FIELD,S9(4) COMP,BINARY,2,2,Length field for first title line input (USAGE COMP),CCRDSLAI,'+/-9999,5,0,YES,COMP,,,,,CCRDSLAI,24,NO,,NO,,,
COCRDSL,TITLE01F,FIELD,X,ALPHANUMERIC,2,1,Flag field for first title line indicating field attributes,CCRDSLAI,X,1,0,NO,DISPLAY,,,,,CCRDSLAI,26,NO,,NO,,,
COCRDSL,FILLER-4,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDSLAI,N/A,0,0,NO,DISPLAY,,,,TITLE01F,CCRDSLAI,26,NO,,NO,,,
COCRDSL,TITLE01A,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for first title line field (REDEFINES TITLE01F),FILLER-4,X,1,0,NO,DISPLAY,,,,,CCRDSLAI,26,NO,,NO,,,
COCRDSL,FILLER-5,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDSLAI,X(4),4,0,NO,DISPLAY,,,,,CCRDSLAI,27,NO,,NO,,,
COCRDSL,TITLE01I,FIELD,X(40),ALPHANUMERIC,2,40,First title line input value - 40 character screen title,CCRDSLAI,X(40),40,0,NO,DISPLAY,,,,,CCRDSLAI,31,NO,,NO,,,
COCRDSL,CURDATEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for current date input (USAGE COMP),CCRDSLAI,'+/-9999,5,0,YES,COMP,,,,,CCRDSLAI,71,NO,,NO,,,
COCRDSL,CURDATEF,FIELD,X,ALPHANUMERIC,2,1,Flag field for current date indicating field attributes,CCRDSLAI,X,1,0,NO,DISPLAY,,,,,CCRDSLAI,73,NO,,NO,,,
COCRDSL,FILLER-6,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDSLAI,N/A,0,0,NO,DISPLAY,,,,CURDATEF,CCRDSLAI,73,NO,,NO,,,
