data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
COCRDUP,CCRDUPAI,RECORD,N/A,GROUP,1,484,Main input map structure for credit card update screen containing all input fields from the terminal,CCRDUPAI,N/A,0,0,NO,DISPLAY,,,,,CCRDUPAI,1,NO,,NO,,,
COCRDUP,FILLER-1,FIELD,X(12),ALPHANUMERIC,2,12,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDUPAI,X(12),12,0,NO,DISPLAY,,,,,CCRDUPAI,1,NO,,NO,,,
COCRDUP,TRNNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for transaction name input (USAGE COMP),CCRDUPAI,'+/-9999,5,0,YES,COMP,,,,,CCRDUPAI,13,NO,,NO,,,
COCRDUP,TRNNAMEF,FIELD,X,ALPHANUMERIC,2,1,Flag field for transaction name indicating field attributes,CCRDUPAI,X,1,0,NO,DISPLAY,,,,,CCRDUPAI,15,NO,,NO,,,
COCRDUP,FILLER-2,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDUPAI,N/A,0,0,NO,DISPLAY,,,,TRNNAMEF,CCRDUPAI,15,NO,,NO,,,
COCRDUP,TRNNAMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for transaction name field (REDEFINES TRNNAMEF),FILLER-2,X,1,0,NO,DISPLAY,,,,,CCRDUPAI,15,NO,,NO,,,
COCRDUP,FILLER-3,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDUPAI,X(4),4,0,NO,DISPLAY,,,,,CCRDUPAI,16,NO,,NO,,,
COCRDUP,TRNNAMEI,FIELD,X(4),ALPHANUMERIC,2,4,Transaction name or code input value,CCRDUPAI,X(4),4,0,NO,DISPLAY,,,,,CCRDUPAI,20,NO,,NO,,,
COCRDUP,TITLE01L,FIELD,S9(4) COMP,BINARY,2,2,Length field for first title line input (USAGE COMP),CCRDUPAI,'+/-9999,5,0,YES,COMP,,,,,CCRDUPAI,24,NO,,NO,,,
COCRDUP,TITLE01F,FIELD,X,ALPHANUMERIC,2,1,Flag field for first title line indicating field attributes,CCRDUPAI,X,1,0,NO,DISPLAY,,,,,CCRDUPAI,26,NO,,NO,,,
COCRDUP,FILLER-4,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDUPAI,N/A,0,0,NO,DISPLAY,,,,TITLE01F,CCRDUPAI,26,NO,,NO,,,
COCRDUP,TITLE01A,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for first title line field (REDEFINES TITLE01F),FILLER-4,X,1,0,NO,DISPLAY,,,,,CCRDUPAI,26,NO,,NO,,,
COCRDUP,FILLER-5,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDUPAI,X(4),4,0,NO,DISPLAY,,,,,CCRDUPAI,27,NO,,NO,,,
COCRDUP,TITLE01I,FIELD,X(40),ALPHANUMERIC,2,40,First title line text input for screen header,CCRDUPAI,X(40),40,0,NO,DISPLAY,,,,,CCRDUPAI,31,NO,,NO,,,
COCRDUP,CURDATEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for current date input (USAGE COMP),CCRDUPAI,'+/-9999,5,0,YES,COMP,,,,,CCRDUPAI,71,NO,,NO,,,
COCRDUP,CURDATEF,FIELD,X,ALPHANUMERIC,2,1,Flag field for current date indicating field attributes,CCRDUPAI,X,1,0,NO,DISPLAY,,,,,CCRDUPAI,73,NO,,NO,,,
COCRDUP,FILLER-6,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDUPAI,N/A,0,0,NO,DISPLAY,,,,CURDATEF,CCRDUPAI,73,NO,,NO,,,
COCRDUP,CURDATEA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for current date field (REDEFINES CURDATEF),FILLER-6,X,1,0,NO,DISPLAY,,,,,CCRDUPAI,73,NO,,NO,,,
COCRDUP,FILLER-7,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDUPAI,X(4),4,0,NO,DISPLAY,,,,,CCRDUPAI,74,NO,,NO,,,
COCRDUP,CURDATEI,FIELD,X(8),ALPHANUMERIC,2,8,Current date input value in 8-character format,CCRDUPAI,X(8),8,0,NO,DISPLAY,,,,,CCRDUPAI,78,NO,,NO,,,
COCRDUP,PGMNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for program name input (USAGE COMP),CCRDUPAI,'+/-9999,5,0,YES,COMP,,,,,CCRDUPAI,86,NO,,NO,,,
COCRDUP,PGMNAMEF,FIELD,X,ALPHANUMERIC,2,1,Flag field for program name indicating field attributes,CCRDUPAI,X,1,0,NO,DISPLAY,,,,,CCRDUPAI,88,NO,,NO,,,
COCRDUP,FILLER-8,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CCRDUPAI,N/A,0,0,NO,DISPLAY,,,,PGMNAMEF,CCRDUPAI,88,NO,,NO,,,
COCRDUP,PGMNAMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for program name field (REDEFINES PGMNAMEF),FILLER-8,X,1,0,NO,DISPLAY,,,,,CCRDUPAI,88,NO,,NO,,,
