data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
COMEN01,COMEN1AI,RECORD,N/A,GROUP,1,820,Main menu screen input map structure for transaction processing,COMEN1AI,N/A,0,0,NO,DISPLAY,,,,,COMEN1AI,1,NO,,NO,,,
COMEN01,FILLER-1,FIELD,X(12),ALPHANUMERIC,2,12,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COMEN1AI,X(12),12,0,NO,DISPLAY,,,,,COMEN1AI,1,NO,,NO,,,
COMEN01,TRNNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Transaction name field length (USAGE COMP),COMEN1AI,'+/-9999,5,0,YES,COMP,,,,,COMEN1AI,13,NO,,NO,,,
COMEN01,TRNNAMEF,FIELD,X,ALPHANUMERIC,2,1,Transaction name field flag attribute,COMEN1AI,X,1,0,NO,DISPLAY,,,,,COMEN1AI,15,NO,,NO,,,
COMEN01,FILLER-2,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COMEN1AI,N/A,0,0,NO,DISPLAY,,,,TRNNAMEF,COMEN1AI,15,NO,,NO,,,
COMEN01,TRNNAMEA,FIELD,X,ALPHANUMERIC,3,1,Transaction name field attribute (REDEFINES TRNNAMEF),FILLER-2,X,1,0,NO,DISPLAY,,,,,COMEN1AI,15,NO,,NO,,,
COMEN01,FILLER-3,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COMEN1AI,X(4),4,0,NO,DISPLAY,,,,,COMEN1AI,16,NO,,NO,,,
COMEN01,TRNNAMEI,FIELD,X(4),ALPHANUMERIC,2,4,Transaction name input value - identifies the transaction code being executed,COMEN1AI,X(4),4,0,NO,DISPLAY,,,,,COMEN1AI,20,NO,,NO,,,
COMEN01,TITLE01L,FIELD,S9(4) COMP,BINARY,2,2,Primary title field length (USAGE COMP),COMEN1AI,'+/-9999,5,0,YES,COMP,,,,,COMEN1AI,24,NO,,NO,,,
COMEN01,TITLE01F,FIELD,X,ALPHANUMERIC,2,1,Primary title field flag attribute,COMEN1AI,X,1,0,NO,DISPLAY,,,,,COMEN1AI,26,NO,,NO,,,
COMEN01,FILLER-4,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COMEN1AI,N/A,0,0,NO,DISPLAY,,,,TITLE01F,COMEN1AI,26,NO,,NO,,,
COMEN01,TITLE01A,FIELD,X,ALPHANUMERIC,3,1,Primary title field attribute (REDEFINES TITLE01F),FILLER-4,X,1,0,NO,DISPLAY,,,,,COMEN1AI,26,NO,,NO,,,
COMEN01,FILLER-5,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COMEN1AI,X(4),4,0,NO,DISPLAY,,,,,COMEN1AI,27,NO,,NO,,,
COMEN01,TITLE01I,FIELD,X(40),ALPHANUMERIC,2,40,Primary title input text - main heading or title for the screen display,COMEN1AI,X(40),40,0,NO,DISPLAY,,,,,COMEN1AI,31,NO,,NO,,,
