data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
CORPT00,CORPT0AI,RECORD,N/A,GROUP,1,337,Input map structure for transaction report screen containing all input fields from the terminal,CORPT0AI,N/A,0,0,NO,DISPLAY,,,,,CORPT0AI,1,NO,,NO,,,
CORPT00,FILLER-1,FIELD,X(12),ALPHANUMERIC,2,12,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CORPT0AI,X(12),12,0,NO,DISPLAY,,,,,CORPT0AI,1,NO,,NO,,,
CORPT00,TRNNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for transaction name input (USAGE COMP),CORPT0AI,'+/-9999,5,0,YES,COMP,,,,,CORPT0AI,13,NO,,NO,,,
CORPT00,TRNNAMEF,FIELD,X,ALPHANUMERIC,2,1,Flag byte for transaction name field,CORPT0AI,X,1,0,NO,DISPLAY,,,,,CORPT0AI,15,NO,,NO,,,
CORPT00,FILLER-2,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CORPT0AI,N/A,0,0,NO,DISPLAY,,,,TRNNAMEF,CORPT0AI,15,NO,,NO,,,
CORPT00,TRNNAMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for transaction name field (REDEFINES TRNNAMEF),FILLER-2,X,1,0,NO,DISPLAY,,,,,CORPT0AI,15,NO,,NO,,,
CORPT00,FILLER-3,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CORPT0AI,X(4),4,0,NO,DISPLAY,,,,,CORPT0AI,16,NO,,NO,,,
CORPT00,TRNNAMEI,FIELD,X(4),ALPHANUMERIC,2,4,Transaction name or code input value,CORPT0AI,X(4),4,0,NO,DISPLAY,,,,,CORPT0AI,20,NO,,NO,,,
CORPT00,TITLE01L,FIELD,S9(4) COMP,BINARY,2,2,Length field for first title line input (USAGE COMP),CORPT0AI,'+/-9999,5,0,YES,COMP,,,,,CORPT0AI,24,NO,,NO,,,
CORPT00,TITLE01F,FIELD,X,ALPHANUMERIC,2,1,Flag byte for first title field,CORPT0AI,X,1,0,NO,DISPLAY,,,,,CORPT0AI,26,NO,,NO,,,
CORPT00,FILLER-4,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CORPT0AI,N/A,0,0,NO,DISPLAY,,,,TITLE01F,CORPT0AI,26,NO,,NO,,,
CORPT00,TITLE01A,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for first title field (REDEFINES TITLE01F),FILLER-4,X,1,0,NO,DISPLAY,,,,,CORPT0AI,26,NO,,NO,,,
CORPT00,FILLER-5,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CORPT0AI,X(4),4,0,NO,DISPLAY,,,,,CORPT0AI,27,NO,,NO,,,
CORPT00,TITLE01I,FIELD,X(40),ALPHANUMERIC,2,40,First title line text input for report header,CORPT0AI,X(40),40,0,NO,DISPLAY,,,,,CORPT0AI,31,NO,,NO,,,
CORPT00,CURDATEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for current date input (USAGE COMP),CORPT0AI,'+/-9999,5,0,YES,COMP,,,,,CORPT0AI,71,NO,,NO,,,
