data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
COSGN00,COSGN0AI,RECORD,N/A,GROUP,1,308,Input map structure for sign-on screen containing all input fields and their attributes,COSGN0AI,N/A,0,0,NO,DISPLAY,,,,,COSGN0AI,1,NO,,NO,,,
COSGN00,FILLER-1,FIELD,X(12),ALPHANUMERIC,2,12,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,X(12),12,0,NO,DISPLAY,,,,,COSGN0AI,1,NO,,NO,,,
COSGN00,TRNNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for transaction name input (USAGE COMP),COSGN0AI,'+/-9999,5,0,YES,COMP,,,,,COSGN0AI,13,NO,,NO,,,
COSGN00,TRNNAMEF,FIELD,X,ALPHANUMERIC,2,1,Flag byte for transaction name field,COSGN0AI,X,1,0,NO,DISPLAY,,,,,COSGN0AI,15,NO,,NO,,,
COSGN00,FILLER-2,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,N/A,0,0,NO,DISPLAY,,,,TRNNAMEF,COSGN0AI,15,NO,,NO,,,
COSGN00,TRNNAMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for transaction name field (REDEFINES TRNNAMEF),FILLER-2,X,1,0,NO,DISPLAY,,,,,COSGN0AI,15,NO,,NO,,,
COSGN00,FILLER-3,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,X(4),4,0,NO,DISPLAY,,,,,COSGN0AI,16,NO,,NO,,,
COSGN00,TRNNAMEI,FIELD,X(4),ALPHANUMERIC,2,4,Transaction name input field - 4 character transaction code,COSGN0AI,X(4),4,0,NO,DISPLAY,,,,,COSGN0AI,20,NO,,NO,,,
COSGN00,TITLE01L,FIELD,S9(4) COMP,BINARY,2,2,Length field for first title line (USAGE COMP),COSGN0AI,'+/-9999,5,0,YES,COMP,,,,,COSGN0AI,24,NO,,NO,,,
COSGN00,TITLE01F,FIELD,X,ALPHANUMERIC,2,1,Flag byte for first title field,COSGN0AI,X,1,0,NO,DISPLAY,,,,,COSGN0AI,26,NO,,NO,,,
COSGN00,FILLER-4,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,N/A,0,0,NO,DISPLAY,,,,TITLE01F,COSGN0AI,26,NO,,NO,,,
COSGN00,TITLE01A,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for first title field (REDEFINES TITLE01F),FILLER-4,X,1,0,NO,DISPLAY,,,,,COSGN0AI,26,NO,,NO,,,
COSGN00,FILLER-5,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,X(4),4,0,NO,DISPLAY,,,,,COSGN0AI,27,NO,,NO,,,
COSGN00,TITLE01I,FIELD,X(40),ALPHANUMERIC,2,40,First title line input field - 40 character screen title,COSGN0AI,X(40),40,0,NO,DISPLAY,,,,,COSGN0AI,31,NO,,NO,,,
COSGN00,CURDATEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for current date (USAGE COMP),COSGN0AI,'+/-9999,5,0,YES,COMP,,,,,COSGN0AI,71,NO,,NO,,,
COSGN00,CURDATEF,FIELD,X,ALPHANUMERIC,2,1,Flag byte for current date field,COSGN0AI,X,1,0,NO,DISPLAY,,,,,COSGN0AI,73,NO,,NO,,,
COSGN00,FILLER-6,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,N/A,0,0,NO,DISPLAY,,,,CURDATEF,COSGN0AI,73,NO,,NO,,,
COSGN00,CURDATEA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for current date field (REDEFINES CURDATEF),FILLER-6,X,1,0,NO,DISPLAY,,,,,COSGN0AI,73,NO,,NO,,,
COSGN00,FILLER-7,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,X(4),4,0,NO,DISPLAY,,,,,COSGN0AI,74,NO,,NO,,,
COSGN00,CURDATEI,FIELD,X(8),ALPHANUMERIC,2,8,Current date input field in 8 character format,COSGN0AI,X(8),8,0,NO,DISPLAY,,,,,COSGN0AI,78,NO,,NO,,,
COSGN00,PGMNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for program name (USAGE COMP),COSGN0AI,'+/-9999,5,0,YES,COMP,,,,,COSGN0AI,86,NO,,NO,,,
COSGN00,PGMNAMEF,FIELD,X,ALPHANUMERIC,2,1,Flag byte for program name field,COSGN0AI,X,1,0,NO,DISPLAY,,,,,COSGN0AI,88,NO,,NO,,,
COSGN00,FILLER-8,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,N/A,0,0,NO,DISPLAY,,,,PGMNAMEF,COSGN0AI,88,NO,,NO,,,
COSGN00,PGMNAMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for program name field (REDEFINES PGMNAMEF),FILLER-8,X,1,0,NO,DISPLAY,,,,,COSGN0AI,88,NO,,NO,,,
COSGN00,FILLER-9,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,X(4),4,0,NO,DISPLAY,,,,,COSGN0AI,89,NO,,NO,,,
COSGN00,PGMNAMEI,FIELD,X(8),ALPHANUMERIC,2,8,Program name input field - 8 character program identifier,COSGN0AI,X(8),8,0,NO,DISPLAY,,,,,COSGN0AI,93,NO,,NO,,,
COSGN00,TITLE02L,FIELD,S9(4) COMP,BINARY,2,2,Length field for second title line (USAGE COMP),COSGN0AI,'+/-9999,5,0,YES,COMP,,,,,COSGN0AI,101,NO,,NO,,,
COSGN00,TITLE02F,FIELD,X,ALPHANUMERIC,2,1,Flag byte for second title field,COSGN0AI,X,1,0,NO,DISPLAY,,,,,COSGN0AI,103,NO,,NO,,,
COSGN00,FILLER-10,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,N/A,0,0,NO,DISPLAY,,,,TITLE02F,COSGN0AI,103,NO,,NO,,,
COSGN00,TITLE02A,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for second title field (REDEFINES TITLE02F),FILLER-10,X,1,0,NO,DISPLAY,,,,,COSGN0AI,103,NO,,NO,,,
COSGN00,FILLER-11,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,X(4),4,0,NO,DISPLAY,,,,,COSGN0AI,104,NO,,NO,,,
COSGN00,TITLE02I,FIELD,X(40),ALPHANUMERIC,2,40,Second title line input field - 40 character screen subtitle,COSGN0AI,X(40),40,0,NO,DISPLAY,,,,,COSGN0AI,108,NO,,NO,,,
COSGN00,CURTIMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for current time (USAGE COMP),COSGN0AI,'+/-9999,5,0,YES,COMP,,,,,COSGN0AI,148,NO,,NO,,,
COSGN00,CURTIMEF,FIELD,X,ALPHANUMERIC,2,1,Flag byte for current time field,COSGN0AI,X,1,0,NO,DISPLAY,,,,,COSGN0AI,150,NO,,NO,,,
COSGN00,FILLER-12,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,N/A,0,0,NO,DISPLAY,,,,CURTIMEF,COSGN0AI,150,NO,,NO,,,
COSGN00,CURTIMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for current time field (REDEFINES CURTIMEF),FILLER-12,X,1,0,NO,DISPLAY,,,,,COSGN0AI,150,NO,,NO,,,
COSGN00,FILLER-13,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,X(4),4,0,NO,DISPLAY,,,,,COSGN0AI,151,NO,,NO,,,
COSGN00,CURTIMEI,FIELD,X(9),ALPHANUMERIC,2,9,Current time input field in 9 character format,COSGN0AI,X(9),9,0,NO,DISPLAY,,,,,COSGN0AI,155,NO,,NO,,,
COSGN00,APPLIDL,FIELD,S9(4) COMP,BINARY,2,2,Length field for application ID (USAGE COMP),COSGN0AI,'+/-9999,5,0,YES,COMP,,,,,COSGN0AI,164,NO,,NO,,,
COSGN00,APPLIDF,FIELD,X,ALPHANUMERIC,2,1,Flag byte for application ID field,COSGN0AI,X,1,0,NO,DISPLAY,,,,,COSGN0AI,166,NO,,NO,,,
COSGN00,FILLER-14,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,N/A,0,0,NO,DISPLAY,,,,APPLIDF,COSGN0AI,166,NO,,NO,,,
COSGN00,APPLIDA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for application ID field (REDEFINES APPLIDF),FILLER-14,X,1,0,NO,DISPLAY,,,,,COSGN0AI,166,NO,,NO,,,
COSGN00,FILLER-15,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,X(4),4,0,NO,DISPLAY,,,,,COSGN0AI,167,NO,,NO,,,
COSGN00,APPLIDI,FIELD,X(8),ALPHANUMERIC,2,8,Application identifier input field - 8 character application code,COSGN0AI,X(8),8,0,NO,DISPLAY,,,,,COSGN0AI,171,NO,,NO,,,
COSGN00,SYSIDL,FIELD,S9(4) COMP,BINARY,2,2,Length field for system ID (USAGE COMP),COSGN0AI,'+/-9999,5,0,YES,COMP,,,,,COSGN0AI,179,NO,,NO,,,
COSGN00,SYSIDF,FIELD,X,ALPHANUMERIC,2,1,Flag byte for system ID field,COSGN0AI,X,1,0,NO,DISPLAY,,,,,COSGN0AI,181,NO,,NO,,,
COSGN00,FILLER-16,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,N/A,0,0,NO,DISPLAY,,,,SYSIDF,COSGN0AI,181,NO,,NO,,,
COSGN00,SYSIDA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for system ID field (REDEFINES SYSIDF),FILLER-16,X,1,0,NO,DISPLAY,,,,,COSGN0AI,181,NO,,NO,,,
COSGN00,FILLER-17,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,X(4),4,0,NO,DISPLAY,,,,,COSGN0AI,182,NO,,NO,,,
COSGN00,SYSIDI,FIELD,X(8),ALPHANUMERIC,2,8,System identifier input field - 8 character system code,COSGN0AI,X(8),8,0,NO,DISPLAY,,,,,COSGN0AI,186,NO,,NO,,,
COSGN00,USERIDL,FIELD,S9(4) COMP,BINARY,2,2,Length field for user ID (USAGE COMP),COSGN0AI,'+/-9999,5,0,YES,COMP,,,,,COSGN0AI,194,NO,,NO,,,
COSGN00,USERIDF,FIELD,X,ALPHANUMERIC,2,1,Flag byte for user ID field,COSGN0AI,X,1,0,NO,DISPLAY,,,,,COSGN0AI,196,NO,,NO,,,
COSGN00,FILLER-18,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,N/A,0,0,NO,DISPLAY,,,,USERIDF,COSGN0AI,196,NO,,NO,,,
COSGN00,USERIDA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for user ID field (REDEFINES USERIDF),FILLER-18,X,1,0,NO,DISPLAY,,,,,COSGN0AI,196,NO,,NO,,,
COSGN00,FILLER-19,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,X(4),4,0,NO,DISPLAY,,,,,COSGN0AI,197,NO,,NO,,,
COSGN00,USERIDI,FIELD,X(8),ALPHANUMERIC,2,8,User identifier input field - 8 character user login name,COSGN0AI,X(8),8,0,NO,DISPLAY,,,,,COSGN0AI,201,NO,,NO,,,
COSGN00,PASSWDL,FIELD,S9(4) COMP,BINARY,2,2,Length field for password (USAGE COMP),COSGN0AI,'+/-9999,5,0,YES,COMP,,,,,COSGN0AI,209,NO,,NO,,,
COSGN00,PASSWDF,FIELD,X,ALPHANUMERIC,2,1,Flag byte for password field,COSGN0AI,X,1,0,NO,DISPLAY,,,,,COSGN0AI,211,NO,,NO,,,
COSGN00,FILLER-20,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,N/A,0,0,NO,DISPLAY,,,,PASSWDF,COSGN0AI,211,NO,,NO,,,
COSGN00,PASSWDA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for password field (REDEFINES PASSWDF),FILLER-20,X,1,0,NO,DISPLAY,,,,,COSGN0AI,211,NO,,NO,,,
COSGN00,FILLER-21,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,X(4),4,0,NO,DISPLAY,,,,,COSGN0AI,212,NO,,NO,,,
COSGN00,PASSWDI,FIELD,X(8),ALPHANUMERIC,2,8,Password input field - 8 character user password,COSGN0AI,X(8),8,0,NO,DISPLAY,,,,,COSGN0AI,216,NO,,NO,,,
COSGN00,ERRMSGL,FIELD,S9(4) COMP,BINARY,2,2,Length field for error message (USAGE COMP),COSGN0AI,'+/-9999,5,0,YES,COMP,,,,,COSGN0AI,224,NO,,NO,,,
COSGN00,ERRMSGF,FIELD,X,ALPHANUMERIC,2,1,Flag byte for error message field,COSGN0AI,X,1,0,NO,DISPLAY,,,,,COSGN0AI,226,NO,,NO,,,
COSGN00,FILLER-22,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,N/A,0,0,NO,DISPLAY,,,,ERRMSGF,COSGN0AI,226,NO,,NO,,,
COSGN00,ERRMSGA,FIELD,X,ALPHANUMERIC,3,1,Attribute byte for error message field (REDEFINES ERRMSGF),FILLER-22,X,1,0,NO,DISPLAY,,,,,COSGN0AI,226,NO,,NO,,,
COSGN00,FILLER-23,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AI,X(4),4,0,NO,DISPLAY,,,,,COSGN0AI,227,NO,,NO,,,
COSGN00,ERRMSGI,FIELD,X(78),ALPHANUMERIC,2,78,Error message input field - 78 character error text display,COSGN0AI,X(78),78,0,NO,DISPLAY,,,,,COSGN0AI,231,NO,,NO,,,
COSGN00,COSGN0AO,RECORD,N/A,GROUP,1,308,Output map structure for sign-on screen containing all output fields and their display attributes (REDEFINES COSGN0AI),COSGN0AO,N/A,0,0,NO,DISPLAY,,,,COSGN0AI,COSGN0AO,1,NO,,NO,,,
COSGN00,FILLER-24,FIELD,X(12),ALPHANUMERIC,2,12,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AO,X(12),12,0,NO,DISPLAY,,,,,COSGN0AO,1,NO,,NO,,,
COSGN00,FILLER-25,FIELD,X(3),ALPHANUMERIC,2,3,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AO,X(3),3,0,NO,DISPLAY,,,,,COSGN0AO,13,NO,,NO,,,
COSGN00,TRNNAMEC,FIELD,X,ALPHANUMERIC,2,1,Color attribute for transaction name output field,COSGN0AO,X,1,0,NO,DISPLAY,,,,,COSGN0AO,16,NO,,NO,,,
COSGN00,TRNNAMEP,FIELD,X,ALPHANUMERIC,2,1,Protection attribute for transaction name output field,COSGN0AO,X,1,0,NO,DISPLAY,,,,,COSGN0AO,17,NO,,NO,,,
COSGN00,TRNNAMEH,FIELD,X,ALPHANUMERIC,2,1,Highlighting attribute for transaction name output field,COSGN0AO,X,1,0,NO,DISPLAY,,,,,COSGN0AO,18,NO,,NO,,,
COSGN00,TRNNAMEV,FIELD,X,ALPHANUMERIC,2,1,Validation attribute for transaction name output field,COSGN0AO,X,1,0,NO,DISPLAY,,,,,COSGN0AO,19,NO,,NO,,,
COSGN00,TRNNAMEO,FIELD,X(4),ALPHANUMERIC,2,4,Transaction name output field - 4 character transaction code display,COSGN0AO,X(4),4,0,NO,DISPLAY,,,,,COSGN0AO,20,NO,,NO,,,
COSGN00,FILLER-26,FIELD,X(3),ALPHANUMERIC,2,3,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AO,X(3),3,0,NO,DISPLAY,,,,,COSGN0AO,24,NO,,NO,,,
COSGN00,TITLE01C,FIELD,X,ALPHANUMERIC,2,1,Color attribute for first title output field,COSGN0AO,X,1,0,NO,DISPLAY,,,,,COSGN0AO,27,NO,,NO,,,
COSGN00,TITLE01P,FIELD,X,ALPHANUMERIC,2,1,Protection attribute for first title output field,COSGN0AO,X,1,0,NO,DISPLAY,,,,,COSGN0AO,28,NO,,NO,,,
COSGN00,TITLE01H,FIELD,X,ALPHANUMERIC,2,1,Highlighting attribute for first title output field,COSGN0AO,X,1,0,NO,DISPLAY,,,,,COSGN0AO,29,NO,,NO,,,
COSGN00,TITLE01V,FIELD,X,ALPHANUMERIC,2,1,Validation attribute for first title output field,COSGN0AO,X,1,0,NO,DISPLAY,,,,,COSGN0AO,30,NO,,NO,,,
COSGN00,TITLE01O,FIELD,X(40),ALPHANUMERIC,2,40,First title line output field - 40 character screen title display,COSGN0AO,X(40),40,0,NO,DISPLAY,,,,,COSGN0AO,31,NO,,NO,,,
COSGN00,FILLER-27,FIELD,X(3),ALPHANUMERIC,2,3,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AO,X(3),3,0,NO,DISPLAY,,,,,COSGN0AO,71,NO,,NO,,,
COSGN00,CURDATEC,FIELD,X,ALPHANUMERIC,2,1,Color attribute for current date output field,COSGN0AO,X,1,0,NO,DISPLAY,,,,,COSGN0AO,74,NO,,NO,,,
COSGN00,CURDATEP,FIELD,X,ALPHANUMERIC,2,1,Protection attribute for current date output field,COSGN0AO,X,1,0,NO,DISPLAY,,,,,COSGN0AO,75,NO,,NO,,,
COSGN00,CURDATEH,FIELD,X,ALPHANUMERIC,2,1,Highlighting attribute for current date output field,COSGN0AO,X,1,0,NO,DISPLAY,,,,,COSGN0AO,76,NO,,NO,,,
COSGN00,CURDATEV,FIELD,X,ALPHANUMERIC,2,1,Validation attribute for current date output field,COSGN0AO,X,1,0,NO,DISPLAY,,,,,COSGN0AO,77,NO,,NO,,,
COSGN00,CURDATEO,FIELD,X(8),ALPHANUMERIC,2,8,Current date output field - 8 character date display,COSGN0AO,X(8),8,0,NO,DISPLAY,,,,,COSGN0AO,78,NO,,NO,,,
COSGN00,FILLER-28,FIELD,X(3),ALPHANUMERIC,2,3,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COSGN0AO,X(3),3,0,NO,DISPLAY,,,,,COSGN0AO,86,NO,,NO,,,
COSGN00,PGMNAMEC,FIELD,X,ALPHANUMERIC,2,1,Color attribute for program name output field,COSGN0AO,X,1,0,NO,DISPLAY,,,,,COSGN0AO,89,NO,,NO,,,
COSGN00,PGMNAMEP,FIELD,X,ALPHANUMERIC,2,1,Protection attribute for program name output field,COSGN0AO,X,1,0,NO,DISPLAY,,,,,COSGN0AO,90,NO,,NO,,,
COSGN00,PGMNAMEH,FIELD,X,ALPHANUMERIC,2,1,Highlighting attribute for program name output field,COSGN0AO,X,1,0,NO,DISPLAY,,,,,COSGN0AO,91,NO,,NO,,,
