data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
COTRN01,COTRN1AI,RECORD,N/A,GROUP,1,575,Main input map structure for transaction screen containing transaction details and merchant information,COTRN1AI,N/A,0,0,NO,DISPLAY,,,,,COTRN1AI,1,NO,,NO,,,
COTRN01,FILLER-1,FIELD,X(12),ALPHANUMERIC,2,12,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COTRN1AI,X(12),12,0,NO,DISPLAY,,,,,COTRN1AI,1,NO,,NO,,,
COTRN01,TRNNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for transaction name (USAGE COMP),COTRN1AI,'+/-9999,5,0,YES,COMP,,,,,COTRN1AI,13,NO,,NO,,,
COTRN01,TRNNAMEF,FIELD,X,ALPHANUMERIC,2,1,Flag field for transaction name,COTRN1AI,X,1,0,NO,DISPLAY,,,,,COTRN1AI,15,NO,,NO,,,
COTRN01,FILLER-2,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COTRN1AI,N/A,0,0,NO,DISPLAY,,,,TRNNAMEF,COTRN1AI,15,NO,,NO,,,
COTRN01,TRNNAMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute field for transaction name (REDEFINES TRNNAMEF),FILLER-2,X,1,0,NO,DISPLAY,,,,,COTRN1AI,15,NO,,NO,,,
COTRN01,FILLER-3,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COTRN1AI,X(4),4,0,NO,DISPLAY,,,,,COTRN1AI,16,NO,,NO,,,
COTRN01,TRNNAMEI,FIELD,X(4),ALPHANUMERIC,2,4,Transaction name input field - 4 character transaction identifier,COTRN1AI,X(4),4,0,NO,DISPLAY,,,,,COTRN1AI,20,NO,,NO,,,
COTRN01,TITLE01L,FIELD,S9(4) COMP,BINARY,2,2,Length field for first title line (USAGE COMP),COTRN1AI,'+/-9999,5,0,YES,COMP,,,,,COTRN1AI,24,NO,,NO,,,
COTRN01,TITLE01F,FIELD,X,ALPHANUMERIC,2,1,Flag field for first title line,COTRN1AI,X,1,0,NO,DISPLAY,,,,,COTRN1AI,26,NO,,NO,,,
