data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
COUSR00,COUSR0AI,RECORD,N/A,GROUP,1,1127,Main input map structure for user list screen containing transaction details and up to 10 user records,COUSR0AI,N/A,0,0,NO,DISPLAY,,,,,COUSR0AI,1,NO,,NO,,,
COUSR00,FILLER-1,FIELD,X(12),ALPHANUMERIC,2,12,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COUSR0AI,X(12),12,0,NO,DISPLAY,,,,,COUSR0AI,1,NO,,NO,,,
COUSR00,TRNNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for transaction name (USAGE COMP),COUSR0AI,'+/-9999,5,0,YES,COMP,,,,,COUSR0AI,13,NO,,NO,,,
COUSR00,TRNNAMEF,FIELD,X,ALPHANUMERIC,2,1,Flag field for transaction name,COUSR0AI,X,1,0,NO,DISPLAY,,,,,COUSR0AI,15,NO,,NO,,,
COUSR00,FILLER-2,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COUSR0AI,N/A,0,0,NO,DISPLAY,,,,TRNNAMEF,COUSR0AI,15,NO,,NO,,,
COUSR00,TRNNAMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute field for transaction name (REDEFINES TRNNAMEF),FILLER-2,X,1,0,NO,DISPLAY,,,,,COUSR0AI,15,NO,,NO,,,
COUSR00,FILLER-3,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COUSR0AI,X(4),4,0,NO,DISPLAY,,,,,COUSR0AI,16,NO,,NO,,,
COUSR00,TRNNAMEI,FIELD,X(4),ALPHANUMERIC,2,4,Transaction name input field - 4 character transaction identifier,COUSR0AI,X(4),4,0,NO,DISPLAY,,,,,COUSR0AI,20,NO,,NO,,,
COUSR00,TITLE01L,FIELD,S9(4) COMP,BINARY,2,2,Length field for first title line (USAGE COMP),COUSR0AI,'+/-9999,5,0,YES,COMP,,,,,COUSR0AI,24,NO,,NO,,,
COUSR00,TITLE01F,FIELD,X,ALPHANUMERIC,2,1,Flag field for first title line,COUSR0AI,X,1,0,NO,DISPLAY,,,,,COUSR0AI,26,NO,,NO,,,
COUSR00,FILLER-4,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COUSR0AI,N/A,0,0,NO,DISPLAY,,,,TITLE01F,COUSR0AI,26,NO,,NO,,,
COUSR00,TITLE01A,FIELD,X,ALPHANUMERIC,3,1,Attribute field for first title line (REDEFINES TITLE01F),FILLER-4,X,1,0,NO,DISPLAY,,,,,COUSR0AI,26,NO,,NO,,,
COUSR00,FILLER-5,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COUSR0AI,X(4),4,0,NO,DISPLAY,,,,,COUSR0AI,27,NO,,NO,,,
COUSR00,TITLE01I,FIELD,X(40),ALPHANUMERIC,2,40,First title line input field - 40 character screen title,COUSR0AI,X(40),40,0,NO,DISPLAY,,,,,COUSR0AI,31,NO,,NO,,,
COUSR00,CURDATEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for current date (USAGE COMP),COUSR0AI,'+/-9999,5,0,YES,COMP,,,,,COUSR0AI,71,NO,,NO,,,
COUSR00,CURDATEF,FIELD,X,ALPHANUMERIC,2,1,Flag field for current date,COUSR0AI,X,1,0,NO,DISPLAY,,,,,COUSR0AI,73,NO,,NO,,,
COUSR00,FILLER-6,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COUSR0AI,N/A,0,0,NO,DISPLAY,,,,CURDATEF,COUSR0AI,73,NO,,NO,,,
COUSR00,CURDATEA,FIELD,X,ALPHANUMERIC,3,1,Attribute field for current date (REDEFINES CURDATEF),FILLER-6,X,1,0,NO,DISPLAY,,,,,COUSR0AI,73,NO,,NO,,,
COUSR00,FILLER-7,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COUSR0AI,X(4),4,0,NO,DISPLAY,,,,,COUSR0AI,74,NO,,NO,,,
COUSR00,CURDATEI,FIELD,X(8),ALPHANUMERIC,2,8,Current date input field - 8 character date value,COUSR0AI,X(8),8,0,NO,DISPLAY,,,,,COUSR0AI,78,NO,,NO,,,
COUSR00,PGMNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for program name (USAGE COMP),COUSR0AI,'+/-9999,5,0,YES,COMP,,,,,COUSR0AI,86,NO,,NO,,,
COUSR00,PGMNAMEF,FIELD,X,ALPHANUMERIC,2,1,Flag field for program name,COUSR0AI,X,1,0,NO,DISPLAY,,,,,COUSR0AI,88,NO,,NO,,,
COUSR00,FILLER-8,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",COUSR0AI,N/A,0,0,NO,DISPLAY,,,,PGMNAMEF,COUSR0AI,88,NO,,NO,,,
COUSR00,PGMNAMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute field for program name (REDEFINES PGMNAMEF),FILLER-8,X,1,0,NO,DISPLAY,,,,,COUSR0AI,88,NO,,NO,,,
