data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
COADM02Y,CARDDEMO-ADMIN-MENU-OPTIONS,RECORD,N/A,GROUP,1,407,"Group item containing all administrative menu options for the CardDemo application, including security and database maintenance functions",CARDDEMO-ADMIN-MENU-OPTIONS,N/A,0,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,1,NO,,NO,,,
COADM02Y,CDEMO-ADMIN-OPT-COUNT,FIELD,9(02),NUMERIC,5,2,Total count of available administrative menu options (VALUE 6),CARDDEMO-ADMIN-MENU-OPTIONS,99,2,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,1,NO,,NO,6,,
COADM02Y,CDEMO-ADMIN-OPTIONS-DATA,GROUP,N/A,GROUP,5,270,"Group item containing the raw data for all administrative menu options with option numbers, descriptions, and program names",CARDDEMO-ADMIN-MENU-OPTIONS,N/A,0,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,3,NO,,NO,,,
COADM02Y,FILLER-1,FIELD,9(02),NUMERIC,10,2,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-ADMIN-OPTIONS-DATA,99,2,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,3,NO,,NO,1,,
COADM02Y,FILLER-2,FIELD,X(35),ALPHANUMERIC,10,35,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-ADMIN-OPTIONS-DATA,X(35),35,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,5,NO,,NO,'User List (Security)               ',,
COADM02Y,FILLER-3,FIELD,X(08),ALPHANUMERIC,10,8,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-ADMIN-OPTIONS-DATA,X(8),8,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,40,NO,,NO,'COUSR00C',,
COADM02Y,FILLER-4,FIELD,9(02),NUMERIC,10,2,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-ADMIN-OPTIONS-DATA,99,2,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,48,NO,,NO,2,,
COADM02Y,FILLER-5,FIELD,X(35),ALPHANUMERIC,10,35,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-ADMIN-OPTIONS-DATA,X(35),35,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,50,NO,,NO,'User Add (Security)                ',,
COADM02Y,FILLER-6,FIELD,X(08),ALPHANUMERIC,10,8,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-ADMIN-OPTIONS-DATA,X(8),8,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,85,NO,,NO,'COUSR01C',,
COADM02Y,FILLER-7,FIELD,9(02),NUMERIC,10,2,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-ADMIN-OPTIONS-DATA,99,2,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,93,NO,,NO,3,,
COADM02Y,FILLER-8,FIELD,X(35),ALPHANUMERIC,10,35,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-ADMIN-OPTIONS-DATA,X(35),35,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,95,NO,,NO,'User Update (Security)             ',,
COADM02Y,FILLER-9,FIELD,X(08),ALPHANUMERIC,10,8,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-ADMIN-OPTIONS-DATA,X(8),8,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,130,NO,,NO,'COUSR02C',,
COADM02Y,FILLER-10,FIELD,9(02),NUMERIC,10,2,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-ADMIN-OPTIONS-DATA,99,2,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,138,NO,,NO,4,,
COADM02Y,FILLER-11,FIELD,X(35),ALPHANUMERIC,10,35,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-ADMIN-OPTIONS-DATA,X(35),35,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,140,NO,,NO,'User Delete (Security)             ',,
COADM02Y,FILLER-12,FIELD,X(08),ALPHANUMERIC,10,8,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-ADMIN-OPTIONS-DATA,X(8),8,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,175,NO,,NO,'COUSR03C',,
COADM02Y,FILLER-13,FIELD,9(02),NUMERIC,10,2,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-ADMIN-OPTIONS-DATA,99,2,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,183,NO,,NO,5,,
COADM02Y,FILLER-14,FIELD,X(35),ALPHANUMERIC,10,35,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-ADMIN-OPTIONS-DATA,X(35),35,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,185,NO,,NO,'Transaction Type List/Update (Db2) ',,
COADM02Y,FILLER-15,FIELD,X(08),ALPHANUMERIC,10,8,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-ADMIN-OPTIONS-DATA,X(8),8,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,220,NO,,NO,'COTRTLIC',,
COADM02Y,FILLER-16,FIELD,9(02),NUMERIC,10,2,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-ADMIN-OPTIONS-DATA,99,2,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,228,NO,,NO,6,,
COADM02Y,FILLER-17,FIELD,X(35),ALPHANUMERIC,10,35,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-ADMIN-OPTIONS-DATA,X(35),35,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,230,NO,,NO,'Transaction Type Maintenance (Db2) ',,
COADM02Y,FILLER-18,FIELD,X(08),ALPHANUMERIC,10,8,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-ADMIN-OPTIONS-DATA,X(8),8,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,265,NO,,NO,'COTRTUPC',,
COADM02Y,CDEMO-ADMIN-OPTIONS,GROUP,N/A,GROUP,5,405,Group item containing structured administrative menu options (REDEFINES CDEMO-ADMIN-OPTIONS-DATA),CARDDEMO-ADMIN-MENU-OPTIONS,N/A,0,0,NO,DISPLAY,,,,CDEMO-ADMIN-OPTIONS-DATA,CARDDEMO-ADMIN-MENU-OPTIONS,3,NO,,NO,,,
COADM02Y,CDEMO-ADMIN-OPT,GROUP,N/A,GROUP,10,45,"Individual administrative menu option entry containing option number, name, and program name (OCCURS 9 TIMES)",CDEMO-ADMIN-OPTIONS,N/A,0,0,NO,DISPLAY,9,9,,,CARDDEMO-ADMIN-MENU-OPTIONS,3,NO,,NO,,,
COADM02Y,CDEMO-ADMIN-OPT-NUM,FIELD,9(02),NUMERIC,15,2,Administrative menu option number identifier,CDEMO-ADMIN-OPT,99,2,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,3,NO,,NO,,,
COADM02Y,CDEMO-ADMIN-OPT-NAME,FIELD,X(35),ALPHANUMERIC,15,35,Administrative menu option descriptive name displayed to users,CDEMO-ADMIN-OPT,X(35),35,0,NO,DISPLAY,,,,,CARDDEMO-ADMIN-MENU-OPTIONS,5,NO,,NO,,,
