data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
COCOM01Y,CARDDEMO-COMMAREA,RECORD,N/A,GROUP,1,160,"Communication area for CardDemo application programs, containing general information, customer details, account information, card data, and navigation context",CARDDEMO-COMMAREA,N/A,0,0,NO,DISPLAY,,,,,CARDDEMO-COMMAREA,1,NO,,NO,,,
COCOM01Y,CDEMO-GENERAL-INFO,GROUP,N/A,GROUP,5,34,"Group containing general transaction and user information including transaction routing, user identification, and program context",CARDDEMO-COMMAREA,N/A,0,0,NO,DISPLAY,,,,,CARDDEMO-COMMAREA,1,NO,,NO,,,
COCOM01Y,CDEMO-FROM-TRANID,FIELD,X(04),ALPHANUMERIC,10,4,Transaction ID of the originating transaction,CDEMO-GENERAL-INFO,X(4),4,0,NO,DISPLAY,,,,,CARDDEMO-COMMAREA,1,NO,,NO,,,
COCOM01Y,CDEMO-FROM-PROGRAM,FIELD,X(08),ALPHANUMERIC,10,8,Program name of the originating program,CDEMO-GENERAL-INFO,X(8),8,0,NO,DISPLAY,,,,,CARDDEMO-COMMAREA,5,NO,,NO,,,
COCOM01Y,CDEMO-TO-TRANID,FIELD,X(04),ALPHANUMERIC,10,4,Transaction ID of the target transaction,CDEMO-GENERAL-INFO,X(4),4,0,NO,DISPLAY,,,,,CARDDEMO-COMMAREA,13,NO,,NO,,,
COCOM01Y,CDEMO-TO-PROGRAM,FIELD,X(08),ALPHANUMERIC,10,8,Program name of the target program,CDEMO-GENERAL-INFO,X(8),8,0,NO,DISPLAY,,,,,CARDDEMO-COMMAREA,17,NO,,NO,,,
COCOM01Y,CDEMO-USER-ID,FIELD,X(08),ALPHANUMERIC,10,8,User identification code,CDEMO-GENERAL-INFO,X(8),8,0,NO,DISPLAY,,,,,CARDDEMO-COMMAREA,25,NO,,NO,,,
COCOM01Y,CDEMO-USER-TYPE,FIELD,X(01),ALPHANUMERIC,10,1,User type indicator - A for Admin or U for User,CDEMO-GENERAL-INFO,X,1,0,NO,DISPLAY,,,,,CARDDEMO-COMMAREA,33,NO,,NO,,,
COCOM01Y,CDEMO-USRTYP-ADMIN,CONDITION,N/A,DISPLAY,88,0,Condition name indicating administrator user type (VALUE 'A'),CDEMO-USER-TYPE,N/A,0,0,NO,DISPLAY,,,,,CARDDEMO-COMMAREA,33,NO,,NO,,'A',
COCOM01Y,CDEMO-USRTYP-USER,CONDITION,N/A,DISPLAY,88,0,Condition name indicating regular user type (VALUE 'U'),CDEMO-USER-TYPE,N/A,0,0,NO,DISPLAY,,,,,CARDDEMO-COMMAREA,33,NO,,NO,,'U',
COCOM01Y,CDEMO-PGM-CONTEXT,FIELD,9(01),NUMERIC,10,1,Program context indicator - 0 for initial entry or 1 for re-entry,CDEMO-GENERAL-INFO,9,1,0,NO,DISPLAY,,,,,CARDDEMO-COMMAREA,34,NO,,NO,,,
COCOM01Y,CDEMO-PGM-ENTER,CONDITION,N/A,DISPLAY,88,0,Condition name indicating initial program entry (VALUE 0),CDEMO-PGM-CONTEXT,N/A,0,0,NO,DISPLAY,,,,,CARDDEMO-COMMAREA,34,NO,,NO,,0,
