data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
CODATECN,CODATECN-REC,RECORD,N/A,GROUP,1,80,"Main record structure for date conversion processing containing input specifications, output specifications, and error messaging",CODATECN-REC,N/A,0,0,NO,DISPLAY,,,,,CODATECN-REC,1,NO,,NO,,,
CODATECN,CODATECN-IN-REC,GROUP,N/A,GROUP,5,21,Input record group containing the date format type indicator and the input date value to be converted,CODATECN-REC,N/A,0,0,NO,DISPLAY,,,,,CODATECN-REC,1,NO,,NO,,,
CODATECN,CODATECN-TYPE,FIELD,X,ALPHANUMERIC,10,1,Input date format type indicator specifying the format of the incoming date,CODATECN-IN-REC,X,1,0,NO,DISPLAY,,,,,CODATECN-REC,1,NO,,NO,,,
CODATECN,YYYYMMDD-IN,CONDITION,N/A,DISPLAY,88,0,"Condition indicating input date is in YYYYMMDD format without separators (VALUE ""1"")",CODATECN-TYPE,N/A,0,0,NO,DISPLAY,,,,,CODATECN-REC,1,NO,,NO,,"""1""",
CODATECN,YYYY-MM-DD-IN,CONDITION,N/A,DISPLAY,88,0,"Condition indicating input date is in YYYY-MM-DD format with dash separators (VALUE ""2"")",CODATECN-TYPE,N/A,0,0,NO,DISPLAY,,,,,CODATECN-REC,1,NO,,NO,,"""2""",
CODATECN,CODATECN-INP-DATE,FIELD,X(20),ALPHANUMERIC,10,20,Input date field containing the date value to be converted in various possible formats,CODATECN-IN-REC,X(20),20,0,NO,DISPLAY,,,,,CODATECN-REC,2,NO,,NO,,,
CODATECN,CODATECN-1INP,GROUP,N/A,GROUP,10,20,Redefined structure for parsing YYYYMMDD format input date (REDEFINES CODATECN-INP-DATE),CODATECN-IN-REC,N/A,0,0,NO,DISPLAY,,,,CODATECN-INP-DATE,CODATECN-REC,2,NO,,NO,,,
CODATECN,CODATECN-1YYYY,FIELD,XXXX,ALPHANUMERIC,15,4,Four-digit year component extracted from YYYYMMDD format input date,CODATECN-1INP,X(4),4,0,NO,DISPLAY,,,,,CODATECN-REC,2,NO,,NO,,,
CODATECN,CODATECN-1MM,FIELD,XX,ALPHANUMERIC,15,2,Two-digit month component extracted from YYYYMMDD format input date,CODATECN-2INP,X(2),2,0,NO,DISPLAY,,,,,CODATECN-REC,7,NO,,NO,,,
CODATECN,CODATECN-1DD,FIELD,XX,ALPHANUMERIC,15,2,Two-digit day component extracted from YYYYMMDD format input date,CODATECN-1INP,X(2),2,0,NO,DISPLAY,,,,,CODATECN-REC,8,NO,,NO,,,
CODATECN,CODATECN-1FIL,FIELD,X(12),ALPHANUMERIC,15,12,Unused trailing portion of input date field for YYYYMMDD format,CODATECN-1INP,X(12),12,0,NO,DISPLAY,,,,,CODATECN-REC,10,NO,,NO,,,
CODATECN,CODATECN-2INP,GROUP,N/A,GROUP,10,20,Redefined structure for parsing YYYY-MM-DD format input date with separators (REDEFINES CODATECN-INP-DATE),CODATECN-IN-REC,N/A,0,0,NO,DISPLAY,,,,CODATECN-INP-DATE,CODATECN-REC,2,NO,,NO,,,
CODATECN,CODATECN-1O-YYYY,FIELD,XXXX,ALPHANUMERIC,15,4,Four-digit year component for YYYY-MM-DD formatted output date,CODATECN-1OUT,X(4),4,0,NO,DISPLAY,,,,,CODATECN-REC,23,NO,,NO,,,
CODATECN,CODATECN-1I-S1,FIELD,X,ALPHANUMERIC,15,1,First separator character between year and month in formatted input date,CODATECN-2INP,X,1,0,NO,DISPLAY,,,,,CODATECN-REC,6,NO,,NO,,,
CODATECN,CODATECN-1I-S2,FIELD,X,ALPHANUMERIC,15,1,Second separator character between month and day in formatted input date,CODATECN-2INP,X,1,0,NO,DISPLAY,,,,,CODATECN-REC,9,NO,,NO,,,
CODATECN,CODATECN-2YY,FIELD,XX,ALPHANUMERIC,15,2,Two-digit day component extracted from YYYY-MM-DD format input date,CODATECN-2INP,X(2),2,0,NO,DISPLAY,,,,,CODATECN-REC,10,NO,,NO,,,
CODATECN,CODATECN-2FIL,FIELD,X(10),ALPHANUMERIC,15,10,Unused trailing portion of input date field for YYYY-MM-DD format,CODATECN-2INP,X(10),10,0,NO,DISPLAY,,,,,CODATECN-REC,12,NO,,NO,,,
CODATECN,CODATECN-OUT-REC,GROUP,N/A,GROUP,5,21,Output record group containing the converted date format type indicator and the converted date value,CODATECN-REC,N/A,0,0,NO,DISPLAY,,,,,CODATECN-REC,22,NO,,NO,,,
CODATECN,CODATECN-OUTTYPE,FIELD,X,ALPHANUMERIC,10,1,Output date format type indicator specifying the desired format for the converted date,CODATECN-OUT-REC,X,1,0,NO,DISPLAY,,,,,CODATECN-REC,22,NO,,NO,,,
CODATECN,YYYY-MM-DD-OP,CONDITION,N/A,DISPLAY,88,0,"Condition indicating output date should be in YYYY-MM-DD format with dash separators (VALUE ""1"")",CODATECN-OUTTYPE,N/A,0,0,NO,DISPLAY,,,,,CODATECN-REC,22,NO,,NO,,"""1""",
CODATECN,YYYYMMDD-OP,CONDITION,N/A,DISPLAY,88,0,"Condition indicating output date should be in YYYYMMDD format without separators (VALUE ""2"")",CODATECN-OUTTYPE,N/A,0,0,NO,DISPLAY,,,,,CODATECN-REC,22,NO,,NO,,"""2""",
CODATECN,CODATECN-0UT-DATE,FIELD,X(20),ALPHANUMERIC,10,20,Output date field containing the converted date value in the requested format,CODATECN-OUT-REC,X(20),20,0,NO,DISPLAY,,,,,CODATECN-REC,23,NO,,NO,,,
CODATECN,CODATECN-1OUT,GROUP,N/A,GROUP,10,20,Redefined structure for formatting output date in YYYY-MM-DD format with separators (REDEFINES CODATECN-0UT-DATE),CODATECN-OUT-REC,N/A,0,0,NO,DISPLAY,,,,CODATECN-0UT-DATE,CODATECN-REC,23,NO,,NO,,,
CODATECN,CODATECN-1O-S1,FIELD,X,ALPHANUMERIC,15,1,First separator character between year and month in formatted output date,CODATECN-1OUT,X,1,0,NO,DISPLAY,,,,,CODATECN-REC,27,NO,,NO,,,
CODATECN,CODATECN-1O-MM,FIELD,XX,ALPHANUMERIC,15,2,Two-digit month component for YYYY-MM-DD formatted output date,CODATECN-1OUT,X(2),2,0,NO,DISPLAY,,,,,CODATECN-REC,28,NO,,NO,,,
CODATECN,CODATECN-1O-S2,FIELD,X,ALPHANUMERIC,15,1,Second separator character between month and day in formatted output date,CODATECN-1OUT,X,1,0,NO,DISPLAY,,,,,CODATECN-REC,30,NO,,NO,,,
CODATECN,CODATECN-1O-DD,FIELD,XX,ALPHANUMERIC,15,2,Two-digit day component for YYYY-MM-DD formatted output date,CODATECN-1OUT,X(2),2,0,NO,DISPLAY,,,,,CODATECN-REC,31,NO,,NO,,,
CODATECN,CODATECN-1OFI,FIELD,X(10),ALPHANUMERIC,15,10,,CODATECN-1OUT,X(10),10,0,NO,DISPLAY,,,,,CODATECN-REC,33,NO,,NO,,,
CODATECN,CODATECN-2OUT,GROUP,N/A,GROUP,10,20,Redefined structure for formatting output date in YYYYMMDD format without separators (REDEFINES CODATECN-0UT-DATE),CODATECN-OUT-REC,N/A,0,0,NO,DISPLAY,,,,CODATECN-0UT-DATE,CODATECN-REC,23,NO,,NO,,,
CODATECN,CODATECN-2O-YYYY,FIELD,XXXX,ALPHANUMERIC,15,4,Four-digit year component for YYYYMMDD formatted output date,CODATECN-2OUT,X(4),4,0,NO,DISPLAY,,,,,CODATECN-REC,23,NO,,NO,,,
CODATECN,CODATECN-2O-MM,FIELD,XX,ALPHANUMERIC,15,2,Two-digit month component for YYYYMMDD formatted output date,CODATECN-2OUT,X(2),2,0,NO,DISPLAY,,,,,CODATECN-REC,27,NO,,NO,,,
CODATECN,CODATECN-2O-DD,FIELD,XX,ALPHANUMERIC,15,2,Two-digit day component for YYYYMMDD formatted output date,CODATECN-2OUT,X(2),2,0,NO,DISPLAY,,,,,CODATECN-REC,29,NO,,NO,,,
