data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
COMEN02Y,CARDDEMO-MAIN-MENU-OPTIONS,RECORD,N/A,GROUP,1,554,Main menu options structure for CardDemo application containing menu option count and menu option details,CARDDEMO-MAIN-MENU-OPTIONS,N/A,0,0,NO,DISPLAY,,,,,CARDDEMO-MAIN-MENU-OPTIONS,1,NO,,NO,,,
COMEN02Y,CDEMO-MENU-OPT-COUNT,FIELD,9(02),NUMERIC,5,2,Total count of menu options available in the CardDemo main menu (VALUE 11),CARDDEMO-MAIN-MENU-OPTIONS,99,2,0,NO,DISPLAY,,,,,CARDDEMO-MAIN-MENU-OPTIONS,1,NO,,NO,11,,
COMEN02Y,CDEMO-MENU-OPTIONS-DATA,GROUP,N/A,GROUP,5,506,Raw data storage area for menu options that will be redefined into a structured array,CARDDEMO-MAIN-MENU-OPTIONS,N/A,0,0,NO,DISPLAY,,,,,CARDDEMO-MAIN-MENU-OPTIONS,3,NO,,NO,,,
COMEN02Y,FILLER-1,FIELD,9(02),NUMERIC,10,2,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-MENU-OPTIONS-DATA,99,2,0,NO,DISPLAY,,,,,CARDDEMO-MAIN-MENU-OPTIONS,3,NO,,NO,1,,
COMEN02Y,FILLER-2,FIELD,X(35),ALPHANUMERIC,10,35,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-MENU-OPTIONS-DATA,X(35),35,0,NO,DISPLAY,,,,,CARDDEMO-MAIN-MENU-OPTIONS,5,NO,,NO,'Account View                       ',,
COMEN02Y,FILLER-3,FIELD,X(08),ALPHANUMERIC,10,8,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-MENU-OPTIONS-DATA,X(8),8,0,NO,DISPLAY,,,,,CARDDEMO-MAIN-MENU-OPTIONS,40,NO,,NO,'COACTVWC',,
COMEN02Y,FILLER-4,FIELD,X(01),ALPHANUMERIC,10,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-MENU-OPTIONS-DATA,X,1,0,NO,DISPLAY,,,,,CARDDEMO-MAIN-MENU-OPTIONS,48,NO,,NO,'U',,
COMEN02Y,FILLER-5,FIELD,9(02),NUMERIC,10,2,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-MENU-OPTIONS-DATA,99,2,0,NO,DISPLAY,,,,,CARDDEMO-MAIN-MENU-OPTIONS,49,NO,,NO,2,,
COMEN02Y,FILLER-6,FIELD,X(35),ALPHANUMERIC,10,35,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-MENU-OPTIONS-DATA,X(35),35,0,NO,DISPLAY,,,,,CARDDEMO-MAIN-MENU-OPTIONS,51,NO,,NO,'Account Update                     ',,
COMEN02Y,FILLER-7,FIELD,X(08),ALPHANUMERIC,10,8,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CDEMO-MENU-OPTIONS-DATA,X(8),8,0,NO,DISPLAY,,,,,CARDDEMO-MAIN-MENU-OPTIONS,86,NO,,NO,'COACTUPC',,
