data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
COSTM01,TRNX-RECORD,RECORD,N/A,GROUP,1,350,"Transaction record layout for reporting purposes containing transaction details including card information, transaction type, merchant data, and timestamps",TRNX-RECORD,N/A,0,0,NO,DISPLAY,,,,,TRNX-RECORD,1,NO,,NO,,,
COSTM01,TRNX-KEY,GROUP,N/A,GROUP,5,32,Primary key for transaction record consisting of card number and transaction identifier,TRNX-RECORD,N/A,0,0,NO,DISPLAY,,,,,TRNX-RECORD,1,NO,,NO,,,
COSTM01,TRNX-CARD-NUM,FIELD,X(16),ALPHANUMERIC,10,16,Credit card number associated with the transaction,TRNX-KEY,X(16),16,0,NO,DISPLAY,,,,,TRNX-RECORD,1,NO,,NO,,,
COSTM01,TRNX-ID,FIELD,X(16),ALPHANUMERIC,10,16,Unique transaction identifier,TRNX-KEY,X(16),16,0,NO,DISPLAY,,,,,TRNX-RECORD,17,NO,,NO,,,
COSTM01,TRNX-REST,GROUP,N/A,GROUP,5,318,"Remaining transaction details including type, category, amounts, merchant information, and timestamps",TRNX-RECORD,N/A,0,0,NO,DISPLAY,,,,,TRNX-RECORD,33,NO,,NO,,,
COSTM01,TRNX-TYPE-CD,FIELD,X(02),ALPHANUMERIC,10,2,"Transaction type code indicating the kind of transaction (e.g., purchase, refund, payment)",TRNX-REST,X(2),2,0,NO,DISPLAY,,,,,TRNX-RECORD,33,NO,,NO,,,
COSTM01,TRNX-CAT-CD,FIELD,9(04),NUMERIC,10,4,Transaction category code classifying the transaction into business categories,TRNX-REST,9999,4,0,NO,DISPLAY,,,,,TRNX-RECORD,35,NO,,NO,,,
COSTM01,TRNX-SOURCE,FIELD,X(10),ALPHANUMERIC,10,10,Source system or channel where the transaction originated,TRNX-REST,X(10),10,0,NO,DISPLAY,,,,,TRNX-RECORD,39,NO,,NO,,,
COSTM01,TRNX-DESC,FIELD,X(100),ALPHANUMERIC,10,100,Detailed description of the transaction,TRNX-REST,X(100),100,0,NO,DISPLAY,,,,,TRNX-RECORD,49,NO,,NO,,,
COSTM01,TRNX-AMT,FIELD,S9(09)V99,DECIMAL,10,11,Transaction amount in dollars and cents,TRNX-REST,'+/-999999999.99,13,2,YES,DISPLAY,,,,,TRNX-RECORD,149,NO,,NO,,,
COSTM01,TRNX-MERCHANT-ID,FIELD,9(09),NUMERIC,10,9,Unique identifier for the merchant where the transaction occurred,TRNX-REST,999999999,9,0,NO,DISPLAY,,,,,TRNX-RECORD,160,NO,,NO,,,
COSTM01,TRNX-MERCHANT-NAME,FIELD,X(50),ALPHANUMERIC,10,50,Name of the merchant or business establishment,TRNX-REST,X(50),50,0,NO,DISPLAY,,,,,TRNX-RECORD,169,NO,,NO,,,
COSTM01,TRNX-MERCHANT-CITY,FIELD,X(50),ALPHANUMERIC,10,50,City where the merchant is located,TRNX-REST,X(50),50,0,NO,DISPLAY,,,,,TRNX-RECORD,219,NO,,NO,,,
COSTM01,TRNX-MERCHANT-ZIP,FIELD,X(10),ALPHANUMERIC,10,10,Postal zip code of the merchant location,TRNX-REST,X(10),10,0,NO,DISPLAY,,,,,TRNX-RECORD,269,NO,,NO,,,
COSTM01,TRNX-ORIG-TS,FIELD,X(26),ALPHANUMERIC,10,26,Original timestamp when the transaction was initiated,TRNX-REST,X(26),26,0,NO,DISPLAY,,,,,TRNX-RECORD,279,NO,,NO,,,
COSTM01,TRNX-PROC-TS,FIELD,X(26),ALPHANUMERIC,10,26,Processing timestamp when the transaction was processed by the system,TRNX-REST,X(26),26,0,NO,DISPLAY,,,,,TRNX-RECORD,305,NO,,NO,,,
COSTM01,FILLER-1,FIELD,X(20),ALPHANUMERIC,10,20,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",TRNX-REST,X(20),20,0,NO,DISPLAY,,,,,TRNX-RECORD,331,NO,,NO,,,
