data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
CSDAT01Y,WS-DATE-TIME,RECORD,N/A,GROUP,1,58,Main group containing date and time information in various formats for system processing and display purposes,WS-DATE-TIME,N/A,0,0,NO,DISPLAY,,,,,WS-DATE-TIME,1,NO,,NO,,,
CSDAT01Y,WS-CURDATE-DATA,GROUP,N/A,GROUP,5,16,Group containing current date and time data in numeric format,WS-DATE-TIME,N/A,0,0,NO,DISPLAY,,,,,WS-DATE-TIME,1,NO,,NO,,,
CSDAT01Y,WS-CURDATE,GROUP,N/A,GROUP,10,8,Group containing current date components in YYYYMMDD format,WS-CURDATE-DATA,N/A,0,0,NO,DISPLAY,,,,,WS-DATE-TIME,1,NO,,NO,,,
CSDAT01Y,WS-CURDATE-YEAR,FIELD,9(04),NUMERIC,15,4,Four-digit year component of the current date,WS-CURDATE,9999,4,0,NO,DISPLAY,,,,,WS-DATE-TIME,1,NO,,NO,,,
CSDAT01Y,WS-CURDATE-MONTH,FIELD,9(02),NUMERIC,15,2,Two-digit month component of the current date (01-12),WS-CURDATE,99,2,0,NO,DISPLAY,,,,,WS-DATE-TIME,5,NO,,NO,,,
CSDAT01Y,WS-CURDATE-DAY,FIELD,9(02),NUMERIC,15,2,Two-digit day component of the current date (01-31),WS-CURDATE,99,2,0,NO,DISPLAY,,,,,WS-DATE-TIME,7,NO,,NO,,,
CSDAT01Y,WS-CURDATE-N,FIELD,9(08),NUMERIC,10,8,Numeric representation of current date in YYYYMMDD format (REDEFINES WS-CURDATE),WS-CURDATE-DATA,99999999,8,0,NO,DISPLAY,,,,WS-CURDATE,WS-DATE-TIME,1,NO,,NO,,,
CSDAT01Y,WS-CURTIME,GROUP,N/A,GROUP,10,8,Group containing current time components in HHMMSSCC format,WS-CURDATE-DATA,N/A,0,0,NO,DISPLAY,,,,,WS-DATE-TIME,9,NO,,NO,,,
CSDAT01Y,WS-CURTIME-HOURS,FIELD,9(02),NUMERIC,15,2,Two-digit hours component of the current time (00-23),WS-CURTIME,99,2,0,NO,DISPLAY,,,,,WS-DATE-TIME,9,NO,,NO,,,
CSDAT01Y,WS-CURTIME-MINUTE,FIELD,9(02),NUMERIC,15,2,Two-digit minutes component of the current time (00-59),WS-CURTIME,99,2,0,NO,DISPLAY,,,,,WS-DATE-TIME,11,NO,,NO,,,
CSDAT01Y,WS-CURTIME-SECOND,FIELD,9(02),NUMERIC,15,2,Two-digit seconds component of the current time (00-59),WS-CURTIME,99,2,0,NO,DISPLAY,,,,,WS-DATE-TIME,13,NO,,NO,,,
CSDAT01Y,WS-CURTIME-MILSEC,FIELD,9(02),NUMERIC,15,2,Two-digit centiseconds component of the current time (00-99),WS-CURTIME,99,2,0,NO,DISPLAY,,,,,WS-DATE-TIME,15,NO,,NO,,,
CSDAT01Y,WS-CURTIME-N,FIELD,9(08),NUMERIC,10,8,Numeric representation of current time in HHMMSSCC format (REDEFINES WS-CURTIME),WS-CURDATE-DATA,99999999,8,0,NO,DISPLAY,,,,WS-CURTIME,WS-DATE-TIME,9,NO,,NO,,,
CSDAT01Y,WS-CURDATE-MM-DD-YY,GROUP,N/A,GROUP,5,8,Group containing current date formatted as MM/DD/YY for display purposes,WS-DATE-TIME,N/A,0,0,NO,DISPLAY,,,,,WS-DATE-TIME,17,NO,,NO,,,
CSDAT01Y,WS-CURDATE-MM,FIELD,9(02),NUMERIC,10,2,Two-digit month component for MM/DD/YY format,WS-CURDATE-MM-DD-YY,99,2,0,NO,DISPLAY,,,,,WS-DATE-TIME,17,NO,,NO,,,
CSDAT01Y,FILLER-1,FIELD,X(01),ALPHANUMERIC,10,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",WS-CURDATE-MM-DD-YY,X,1,0,NO,DISPLAY,,,,,WS-DATE-TIME,19,NO,,NO,'/',,
CSDAT01Y,WS-CURDATE-DD,FIELD,9(02),NUMERIC,10,2,Two-digit day component for MM/DD/YY format,WS-CURDATE-MM-DD-YY,99,2,0,NO,DISPLAY,,,,,WS-DATE-TIME,20,NO,,NO,,,
CSDAT01Y,FILLER-2,FIELD,X(01),ALPHANUMERIC,10,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",WS-CURDATE-MM-DD-YY,X,1,0,NO,DISPLAY,,,,,WS-DATE-TIME,22,NO,,NO,'/',,
CSDAT01Y,WS-CURDATE-YY,FIELD,9(02),NUMERIC,10,2,Two-digit year component for MM/DD/YY format,WS-CURDATE-MM-DD-YY,99,2,0,NO,DISPLAY,,,,,WS-DATE-TIME,23,NO,,NO,,,
