data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
CSUTLDWY,WS-EDIT-DATE-CCYYMMDD,GROUP,N/A,GROUP,10,8,Group field containing a date in CCYYMMDD format with century year month and day components,WS-EDIT-DATE-CCYYMMDD,N/A,0,0,NO,DISPLAY,,,,,CSUTLDWY,1,NO,,NO,,,
CSUTLDWY,WS-EDIT-DATE-CCYY,GROUP,N/A,GROUP,20,4,Group field containing the century and year portion (CCYY) of the date,WS-EDIT-DATE-CCYYMMDD,N/A,0,0,NO,DISPLAY,,,,,CSUTLDWY,1,NO,,NO,,,
CSUTLDWY,WS-EDIT-DATE-CC,FIELD,X(2),ALPHANUMERIC,25,2,Century portion of the date in character format,WS-EDIT-DATE-CCYY,X(2),2,0,NO,DISPLAY,,,,,CSUTLDWY,1,NO,,NO,,,
CSUTLDWY,WS-EDIT-DATE-CC-N,FIELD,9(2),NUMERIC,25,2,Century portion of the date in numeric format (REDEFINES WS-EDIT-DATE-CC),WS-EDIT-DATE-CCYY,99,2,0,NO,DISPLAY,,,,WS-EDIT-DATE-CC,CSUTLDWY,1,NO,,NO,,,
CSUTLDWY,THIS-CENTURY,CONDITION,N/A,DISPLAY,88,0,Condition to check if century is 20 (VALUE 20),WS-EDIT-DATE-CC-N,N/A,0,0,NO,DISPLAY,,,,,CSUTLDWY,1,NO,,NO,,20,
CSUTLDWY,LAST-CENTURY,CONDITION,N/A,DISPLAY,88,0,Condition to check if century is 19 (VALUE 19),WS-EDIT-DATE-CC-N,N/A,0,0,NO,DISPLAY,,,,,CSUTLDWY,1,NO,,NO,,19,
CSUTLDWY,WS-EDIT-DATE-YY,FIELD,X(2),ALPHANUMERIC,25,2,Year portion of the date in character format,WS-EDIT-DATE-CCYY,X(2),2,0,NO,DISPLAY,,,,,CSUTLDWY,3,NO,,NO,,,
CSUTLDWY,WS-EDIT-DATE-YY-N,FIELD,9(2),NUMERIC,25,2,Year portion of the date in numeric format (REDEFINES WS-EDIT-DATE-YY),WS-EDIT-DATE-CCYY,99,2,0,NO,DISPLAY,,,,WS-EDIT-DATE-YY,CSUTLDWY,3,NO,,NO,,,
CSUTLDWY,WS-EDIT-DATE-CCYY-N,FIELD,9(4),NUMERIC,20,4,Four-digit year with century in numeric format (REDEFINES WS-EDIT-DATE-CCYY),WS-EDIT-DATE-CCYYMMDD,9999,4,0,NO,DISPLAY,,,,WS-EDIT-DATE-CCYY,CSUTLDWY,1,NO,,NO,,,
CSUTLDWY,WS-EDIT-DATE-MM,FIELD,X(2),ALPHANUMERIC,20,2,Month portion of the date in character format,WS-EDIT-DATE-CCYYMMDD,X(2),2,0,NO,DISPLAY,,,,,CSUTLDWY,5,NO,,NO,,,
CSUTLDWY,WS-EDIT-DATE-MM-N,FIELD,9(2),NUMERIC,20,2,Month portion of the date in numeric format (REDEFINES WS-EDIT-DATE-MM),WS-EDIT-DATE-CCYYMMDD,99,2,0,NO,DISPLAY,,,,WS-EDIT-DATE-MM,CSUTLDWY,5,NO,,NO,,,
CSUTLDWY,WS-VALID-MONTH,CONDITION,N/A,DISPLAY,88,0,Condition to validate month is between 1 and 12 (VALUES 1 THROUGH 12),WS-EDIT-DATE-MM-N,N/A,0,0,NO,DISPLAY,,,,,CSUTLDWY,5,NO,,NO,,,1 THROUGH 12
CSUTLDWY,WS-31-DAY-MONTH,CONDITION,N/A,DISPLAY,88,0,"Condition to identify months with 31 days (VALUES 1, 3, 5, 7, 8, 10, 12)",WS-EDIT-DATE-MM-N,N/A,0,0,NO,DISPLAY,,,,,CSUTLDWY,5,NO,,NO,,"1, 3, 5, 7, 8, 10, 12",
CSUTLDWY,WS-FEBRUARY,CONDITION,N/A,DISPLAY,88,0,Condition to identify February month (VALUE 2),WS-EDIT-DATE-MM-N,N/A,0,0,NO,DISPLAY,,,,,CSUTLDWY,5,NO,,NO,,2,
CSUTLDWY,WS-EDIT-DATE-DD,FIELD,X(2),ALPHANUMERIC,20,2,Day portion of the date in character format,WS-EDIT-DATE-CCYYMMDD,X(2),2,0,NO,DISPLAY,,,,,CSUTLDWY,7,NO,,NO,,,
CSUTLDWY,WS-EDIT-DATE-DD-N,FIELD,9(2),NUMERIC,20,2,Day portion of the date in numeric format (REDEFINES WS-EDIT-DATE-DD),WS-EDIT-DATE-CCYYMMDD,99,2,0,NO,DISPLAY,,,,WS-EDIT-DATE-DD,CSUTLDWY,7,NO,,NO,,,
CSUTLDWY,WS-VALID-DAY,CONDITION,N/A,DISPLAY,88,0,Condition to validate day is between 1 and 31 (VALUES 1 THROUGH 31),WS-EDIT-DATE-DD-N,N/A,0,0,NO,DISPLAY,,,,,CSUTLDWY,7,NO,,NO,,,1 THROUGH 31
CSUTLDWY,WS-DAY-31,CONDITION,N/A,DISPLAY,88,0,Condition to check if day is 31 (VALUE 31),WS-EDIT-DATE-DD-N,N/A,0,0,NO,DISPLAY,,,,,CSUTLDWY,7,NO,,NO,,31,
CSUTLDWY,WS-DAY-30,CONDITION,N/A,DISPLAY,88,0,Condition to check if day is 30 (VALUE 30),WS-EDIT-DATE-DD-N,N/A,0,0,NO,DISPLAY,,,,,CSUTLDWY,7,NO,,NO,,30,
CSUTLDWY,WS-DAY-29,CONDITION,N/A,DISPLAY,88,0,Condition to check if day is 29 (VALUE 29),WS-EDIT-DATE-DD-N,N/A,0,0,NO,DISPLAY,,,,,CSUTLDWY,7,NO,,NO,,29,
CSUTLDWY,WS-VALID-FEB-DAY,CONDITION,N/A,DISPLAY,88,0,Condition to validate February day is between 1 and 28 (VALUES 1 THROUGH 28),WS-EDIT-DATE-DD-N,N/A,0,0,NO,DISPLAY,,,,,CSUTLDWY,7,NO,,NO,,,1 THROUGH 28
CSUTLDWY,WS-EDIT-DATE-CCYYMMDD-N,FIELD,9(8),NUMERIC,10,8,Complete date in numeric CCYYMMDD format (REDEFINES WS-EDIT-DATE-CCYYMMDD),WS-EDIT-DATE-CCYYMMDD-N,99999999,8,0,NO,DISPLAY,,,,WS-EDIT-DATE-CCYYMMDD,CSUTLDWY,1,NO,,NO,,,
CSUTLDWY,WS-EDIT-DATE-BINARY,FIELD,S9(9) BINARY,BINARY,10,4,Binary representation of the date for computational purposes (USAGE BINARY),WS-EDIT-DATE-BINARY,'+/-999999999,10,0,YES,BINARY,,,,,CSUTLDWY,9,NO,,NO,,,
CSUTLDWY,WS-CURRENT-DATE,GROUP,N/A,GROUP,10,12,Group field containing current date information,WS-CURRENT-DATE,N/A,0,0,NO,DISPLAY,,,,,CSUTLDWY,13,NO,,NO,,,
CSUTLDWY,WS-CURRENT-DATE-YYYYMMDD,FIELD,X(8),ALPHANUMERIC,20,8,Current date in YYYYMMDD character format,WS-CURRENT-DATE,X(8),8,0,NO,DISPLAY,,,,,CSUTLDWY,13,NO,,NO,,,
CSUTLDWY,WS-CURRENT-DATE-YYYYMMDD-N,FIELD,9(8),NUMERIC,20,8,Current date in YYYYMMDD numeric format (REDEFINES WS-CURRENT-DATE-YYYYMMDD),WS-CURRENT-DATE,99999999,8,0,NO,DISPLAY,,,,WS-CURRENT-DATE-YYYYMMDD,CSUTLDWY,13,NO,,NO,,,
CSUTLDWY,WS-CURRENT-DATE-BINARY,FIELD,S9(9) BINARY,BINARY,20,4,Binary representation of current date for computational purposes (USAGE BINARY),WS-CURRENT-DATE,'+/-999999999,10,0,YES,BINARY,,,,,CSUTLDWY,21,NO,,NO,,,
CSUTLDWY,WS-EDIT-DATE-FLGS,GROUP,N/A,GROUP,10,3,Group field containing date validation flags for year month and day,WS-EDIT-DATE-FLGS,N/A,0,0,NO,DISPLAY,,,,,CSUTLDWY,25,NO,,NO,,,
CSUTLDWY,WS-EDIT-DATE-IS-VALID,CONDITION,N/A,DISPLAY,88,0,Condition indicating the date is valid (VALUE LOW-VALUES),WS-EDIT-DATE-FLGS,N/A,0,0,NO,DISPLAY,,,,,CSUTLDWY,25,NO,,NO,,LOW-VALUES,
CSUTLDWY,WS-EDIT-DATE-IS-INVALID,CONDITION,N/A,DISPLAY,88,0,Condition indicating the date is invalid (VALUE '000'),WS-EDIT-DATE-FLGS,N/A,0,0,NO,DISPLAY,,,,,CSUTLDWY,25,NO,,NO,,'000',
CSUTLDWY,WS-EDIT-YEAR-FLG,FIELD,X(01),ALPHANUMERIC,20,1,Flag indicating the validation status of the year component,WS-EDIT-DATE-FLGS,X,1,0,NO,DISPLAY,,,,,CSUTLDWY,25,NO,,NO,,,
CSUTLDWY,FLG-YEAR-ISVALID,CONDITION,N/A,DISPLAY,88,0,Condition indicating year is valid (VALUE LOW-VALUES),WS-EDIT-YEAR-FLG,N/A,0,0,NO,DISPLAY,,,,,CSUTLDWY,25,NO,,NO,,LOW-VALUES,
CSUTLDWY,FLG-YEAR-NOT-OK,CONDITION,N/A,DISPLAY,88,0,Condition indicating year is not valid (VALUE '0'),WS-EDIT-YEAR-FLG,N/A,0,0,NO,DISPLAY,,,,,CSUTLDWY,25,NO,,NO,,'0',
CSUTLDWY,FLG-YEAR-BLANK,CONDITION,N/A,DISPLAY,88,0,Condition indicating year is blank (VALUE 'B'),WS-EDIT-YEAR-FLG,N/A,0,0,NO,DISPLAY,,,,,CSUTLDWY,25,NO,,NO,,'B',
CSUTLDWY,WS-EDIT-MONTH,FIELD,X(01),ALPHANUMERIC,20,1,Flag indicating the validation status of the month component,WS-EDIT-DATE-FLGS,X,1,0,NO,DISPLAY,,,,,CSUTLDWY,26,NO,,NO,,,
CSUTLDWY,FLG-MONTH-ISVALID,CONDITION,N/A,DISPLAY,88,0,Condition indicating month is valid (VALUE LOW-VALUES),WS-EDIT-MONTH,N/A,0,0,NO,DISPLAY,,,,,CSUTLDWY,26,NO,,NO,,LOW-VALUES,
CSUTLDWY,FLG-MONTH-NOT-OK,CONDITION,N/A,DISPLAY,88,0,Condition indicating month is not valid (VALUE '0'),WS-EDIT-MONTH,N/A,0,0,NO,DISPLAY,,,,,CSUTLDWY,26,NO,,NO,,'0',
CSUTLDWY,FLG-MONTH-BLANK,CONDITION,N/A,DISPLAY,88,0,Condition indicating month is blank (VALUE 'B'),WS-EDIT-MONTH,N/A,0,0,NO,DISPLAY,,,,,CSUTLDWY,26,NO,,NO,,'B',
