data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
CUSTREC,CUSTOMER-RECORD,RECORD,N/A,GROUP,1,500,Data structure for Customer entity with a record length of 500 bytes,CUSTOMER-RECORD,N/A,0,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,1,NO,,NO,,,
CUSTREC,CUST-ID,FIELD,9(09),NUMERIC,5,9,Customer unique identifier number,CUSTOMER-RECORD,999999999,9,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,1,NO,,NO,,,
CUSTREC,CUST-FIRST-NAME,FIELD,X(25),ALPHANUMERIC,5,25,Customer's first name,CUSTOMER-RECORD,X(25),25,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,10,NO,,NO,,,
CUSTREC,CUST-MIDDLE-NAME,FIELD,X(25),ALPHANUMERIC,5,25,Customer's middle name,CUSTOMER-RECORD,X(25),25,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,35,NO,,NO,,,
CUSTREC,CUST-LAST-NAME,FIELD,X(25),ALPHANUMERIC,5,25,Customer's last name,CUSTOMER-RECORD,X(25),25,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,60,NO,,NO,,,
CUSTREC,CUST-ADDR-LINE-1,FIELD,X(50),ALPHANUMERIC,5,50,Customer address line 1,CUSTOMER-RECORD,X(50),50,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,85,NO,,NO,,,
CUSTREC,CUST-ADDR-LINE-2,FIELD,X(50),ALPHANUMERIC,5,50,Customer address line 2,CUSTOMER-RECORD,X(50),50,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,135,NO,,NO,,,
CUSTREC,CUST-ADDR-LINE-3,FIELD,X(50),ALPHANUMERIC,5,50,Customer address line 3,CUSTOMER-RECORD,X(50),50,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,185,NO,,NO,,,
CUSTREC,CUST-ADDR-STATE-CD,FIELD,X(02),ALPHANUMERIC,5,2,Customer address state code,CUSTOMER-RECORD,X(2),2,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,235,NO,,NO,,,
CUSTREC,CUST-ADDR-COUNTRY-CD,FIELD,X(03),ALPHANUMERIC,5,3,Customer address country code,CUSTOMER-RECORD,X(3),3,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,237,NO,,NO,,,
CUSTREC,CUST-ADDR-ZIP,FIELD,X(10),ALPHANUMERIC,5,10,Customer address ZIP or postal code,CUSTOMER-RECORD,X(10),10,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,240,NO,,NO,,,
CUSTREC,CUST-PHONE-NUM-1,FIELD,X(15),ALPHANUMERIC,5,15,Customer primary phone number,CUSTOMER-RECORD,X(15),15,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,250,NO,,NO,,,
CUSTREC,CUST-PHONE-NUM-2,FIELD,X(15),ALPHANUMERIC,5,15,Customer secondary phone number,CUSTOMER-RECORD,X(15),15,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,265,NO,,NO,,,
CUSTREC,CUST-SSN,FIELD,9(09),NUMERIC,5,9,Customer Social Security Number,CUSTOMER-RECORD,999999999,9,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,280,NO,,NO,,,
CUSTREC,CUST-GOVT-ISSUED-ID,FIELD,X(20),ALPHANUMERIC,5,20,Customer government issued identification number,CUSTOMER-RECORD,X(20),20,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,289,NO,,NO,,,
CUSTREC,CUST-DOB-YYYYMMDD,FIELD,X(10),ALPHANUMERIC,5,10,Customer date of birth in YYYYMMDD format,CUSTOMER-RECORD,X(10),10,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,309,NO,,NO,,,
CUSTREC,CUST-EFT-ACCOUNT-ID,FIELD,X(10),ALPHANUMERIC,5,10,Customer Electronic Funds Transfer account identifier,CUSTOMER-RECORD,X(10),10,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,319,NO,,NO,,,
CUSTREC,CUST-PRI-CARD-HOLDER-IND,FIELD,X(01),ALPHANUMERIC,5,1,Customer primary card holder indicator,CUSTOMER-RECORD,X,1,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,329,NO,,NO,,,
CUSTREC,CUST-FICO-CREDIT-SCORE,FIELD,9(03),NUMERIC,5,3,Customer FICO credit score,CUSTOMER-RECORD,999,3,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,330,NO,,NO,,,
CUSTREC,FILLER-1,FIELD,X(168),ALPHANUMERIC,5,168,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CUSTOMER-RECORD,X(168),168,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,333,NO,,NO,,,
