data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
CVACT01Y,ACCOUNT-RECORD,RECORD,N/A,GROUP,1,300,Data structure for account entity with a record length of 300 bytes,ACCOUNT-RECORD,N/A,0,0,NO,DISPLAY,,,,,ACCOUNT-RECORD,1,NO,,NO,,,
CVACT01Y,ACCT-ID,FIELD,9(11),NUMERIC,5,11,Account identification number (PIC 9(11)),ACCOUNT-RECORD,99999999999,11,0,NO,DISPLAY,,,,,ACCOUNT-RECORD,1,NO,,NO,,,
CVACT01Y,ACCT-ACTIVE-STATUS,FIELD,X(01),ALPHANUMERIC,5,1,Account active status indicator (PIC X(01)),ACCOUNT-RECORD,X,1,0,NO,DISPLAY,,,,,ACCOUNT-RECORD,12,NO,,NO,,,
CVACT01Y,ACCT-CURR-BAL,FIELD,S9(10)V99,DECIMAL,5,12,Account current balance amount (PIC S9(10)V99),ACCOUNT-RECORD,'+/-9999999999.99,14,2,YES,DISPLAY,,,,,ACCOUNT-RECORD,13,NO,,NO,,,
CVACT01Y,ACCT-CREDIT-LIMIT,FIELD,S9(10)V99,DECIMAL,5,12,Account credit limit amount (PIC S9(10)V99),ACCOUNT-RECORD,'+/-9999999999.99,14,2,YES,DISPLAY,,,,,ACCOUNT-RECORD,25,NO,,NO,,,
CVACT01Y,ACCT-CASH-CREDIT-LIMIT,FIELD,S9(10)V99,DECIMAL,5,12,Account cash advance credit limit amount (PIC S9(10)V99),ACCOUNT-RECORD,'+/-9999999999.99,14,2,YES,DISPLAY,,,,,ACCOUNT-RECORD,37,NO,,NO,,,
CVACT01Y,ACCT-OPEN-DATE,FIELD,X(10),ALPHANUMERIC,5,10,Account opening date (PIC X(10)),ACCOUNT-RECORD,X(10),10,0,NO,DISPLAY,,,,,ACCOUNT-RECORD,49,NO,,NO,,,
CVACT01Y,ACCT-EXPIRAION-DATE,FIELD,X(10),ALPHANUMERIC,5,10,Account expiration date (PIC X(10)),ACCOUNT-RECORD,X(10),10,0,NO,DISPLAY,,,,,ACCOUNT-RECORD,59,NO,,NO,,,
CVACT01Y,ACCT-REISSUE-DATE,FIELD,X(10),ALPHANUMERIC,5,10,Account reissue date (PIC X(10)),ACCOUNT-RECORD,X(10),10,0,NO,DISPLAY,,,,,ACCOUNT-RECORD,69,NO,,NO,,,
CVACT01Y,ACCT-CURR-CYC-CREDIT,FIELD,S9(10)V99,DECIMAL,5,12,Account current cycle credit amount (PIC S9(10)V99),ACCOUNT-RECORD,'+/-9999999999.99,14,2,YES,DISPLAY,,,,,ACCOUNT-RECORD,79,NO,,NO,,,
CVACT01Y,ACCT-CURR-CYC-DEBIT,FIELD,S9(10)V99,DECIMAL,5,12,Account current cycle debit amount (PIC S9(10)V99),ACCOUNT-RECORD,'+/-9999999999.99,14,2,YES,DISPLAY,,,,,ACCOUNT-RECORD,91,NO,,NO,,,
CVACT01Y,ACCT-ADDR-ZIP,FIELD,X(10),ALPHANUMERIC,5,10,Account address ZIP code (PIC X(10)),ACCOUNT-RECORD,X(10),10,0,NO,DISPLAY,,,,,ACCOUNT-RECORD,103,NO,,NO,,,
CVACT01Y,ACCT-GROUP-ID,FIELD,X(10),ALPHANUMERIC,5,10,Account group identifier (PIC X(10)),ACCOUNT-RECORD,X(10),10,0,NO,DISPLAY,,,,,ACCOUNT-RECORD,113,NO,,NO,,,
CVACT01Y,FILLER-1,FIELD,X(178),ALPHANUMERIC,5,178,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",ACCOUNT-RECORD,X(178),178,0,NO,DISPLAY,,,,,ACCOUNT-RECORD,123,NO,,NO,,,
