data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
CVCRD01Y,CC-WORK-AREAS,RECORD,N/A,GROUP,1,213,Main working storage area for credit card application data,CC-WORK-AREAS,N/A,0,0,NO,DISPLAY,,,,,CC-WORK-AREAS,1,NO,,NO,,,
CVCRD01Y,CC-WORK-AREA,GROUP,N/A,GROUP,5,213,Working storage container for credit card transaction processing fields,CC-WORK-AREAS,N/A,0,0,NO,DISPLAY,,,,,CC-WORK-AREAS,1,NO,,NO,,,
CVCRD01Y,CCARD-AID,FIELD,X(5),ALPHANUMERIC,10,5,Attention identifier key that indicates which terminal key was pressed (PIC X(5)),CC-WORK-AREA,X(5),5,0,NO,DISPLAY,,,,,CC-WORK-AREAS,1,NO,,NO,,,
CVCRD01Y,CCARD-AID-ENTER,CONDITION,N/A,DISPLAY,88,0,Condition indicating Enter key was pressed (VALUE 'ENTER'),CCARD-AID,N/A,0,0,NO,DISPLAY,,,,,CC-WORK-AREAS,1,NO,,NO,,'ENTER',
CVCRD01Y,CCARD-AID-CLEAR,CONDITION,N/A,DISPLAY,88,0,Condition indicating Clear key was pressed (VALUE 'CLEAR'),CCARD-AID,N/A,0,0,NO,DISPLAY,,,,,CC-WORK-AREAS,1,NO,,NO,,'CLEAR',
CVCRD01Y,CCARD-AID-PA1,CONDITION,N/A,DISPLAY,88,0,Condition indicating Program Attention key 1 was pressed (VALUE 'PA1  '),CCARD-AID,N/A,0,0,NO,DISPLAY,,,,,CC-WORK-AREAS,1,NO,,NO,,'PA1  ',
CVCRD01Y,CCARD-AID-PA2,CONDITION,N/A,DISPLAY,88,0,Condition indicating Program Attention key 2 was pressed (VALUE 'PA2  '),CCARD-AID,N/A,0,0,NO,DISPLAY,,,,,CC-WORK-AREAS,1,NO,,NO,,'PA2  ',
CVCRD01Y,CCARD-AID-PFK01,CONDITION,N/A,DISPLAY,88,0,Condition indicating Program Function key 1 was pressed (VALUE 'PFK01'),CCARD-AID,N/A,0,0,NO,DISPLAY,,,,,CC-WORK-AREAS,1,NO,,NO,,'PFK01',
CVCRD01Y,CCARD-AID-PFK02,CONDITION,N/A,DISPLAY,88,0,Condition indicating Program Function key 2 was pressed (VALUE 'PFK02'),CCARD-AID,N/A,0,0,NO,DISPLAY,,,,,CC-WORK-AREAS,1,NO,,NO,,'PFK02',
CVCRD01Y,CCARD-AID-PFK03,CONDITION,N/A,DISPLAY,88,0,Condition indicating Program Function key 3 was pressed (VALUE 'PFK03'),CCARD-AID,N/A,0,0,NO,DISPLAY,,,,,CC-WORK-AREAS,1,NO,,NO,,'PFK03',
