data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
CVCUS01Y,CUSTOMER-RECORD,RECORD,N/A,GROUP,1,500,"Data structure for Customer entity with a record length of 500 bytes, containing customer personal information, contact details, and account information",CUSTOMER-RECORD,N/A,0,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,1,NO,,NO,,,
CVCUS01Y,CUST-ID,FIELD,9(09),NUMERIC,5,9,Unique 9-digit numeric identifier for the customer,CUSTOMER-RECORD,999999999,9,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,1,NO,,NO,,,
CVCUS01Y,CUST-FIRST-NAME,FIELD,X(25),ALPHANUMERIC,5,25,"Customer's first name, up to 25 characters",CUSTOMER-RECORD,X(25),25,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,10,NO,,NO,,,
CVCUS01Y,CUST-MIDDLE-NAME,FIELD,X(25),ALPHANUMERIC,5,25,"Customer's middle name, up to 25 characters",CUSTOMER-RECORD,X(25),25,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,35,NO,,NO,,,
CVCUS01Y,CUST-LAST-NAME,FIELD,X(25),ALPHANUMERIC,5,25,"Customer's last name, up to 25 characters",CUSTOMER-RECORD,X(25),25,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,60,NO,,NO,,,
CVCUS01Y,CUST-ADDR-LINE-1,FIELD,X(50),ALPHANUMERIC,5,50,"First line of customer's address, up to 50 characters",CUSTOMER-RECORD,X(50),50,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,85,NO,,NO,,,
CVCUS01Y,CUST-ADDR-LINE-2,FIELD,X(50),ALPHANUMERIC,5,50,"Second line of customer's address, up to 50 characters",CUSTOMER-RECORD,X(50),50,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,135,NO,,NO,,,
CVCUS01Y,CUST-ADDR-LINE-3,FIELD,X(50),ALPHANUMERIC,5,50,"Third line of customer's address, up to 50 characters",CUSTOMER-RECORD,X(50),50,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,185,NO,,NO,,,
CVCUS01Y,CUST-ADDR-STATE-CD,FIELD,X(02),ALPHANUMERIC,5,2,Two-character state code for customer's address,CUSTOMER-RECORD,X(2),2,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,235,NO,,NO,,,
CVCUS01Y,CUST-ADDR-COUNTRY-CD,FIELD,X(03),ALPHANUMERIC,5,3,Three-character country code for customer's address,CUSTOMER-RECORD,X(3),3,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,237,NO,,NO,,,
CVCUS01Y,CUST-ADDR-ZIP,FIELD,X(10),ALPHANUMERIC,5,10,"Customer's postal/ZIP code, up to 10 characters",CUSTOMER-RECORD,X(10),10,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,240,NO,,NO,,,
CVCUS01Y,CUST-PHONE-NUM-1,FIELD,X(15),ALPHANUMERIC,5,15,"Primary phone number for customer, up to 15 characters",CUSTOMER-RECORD,X(15),15,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,250,NO,,NO,,,
CVCUS01Y,CUST-PHONE-NUM-2,FIELD,X(15),ALPHANUMERIC,5,15,"Secondary phone number for customer, up to 15 characters",CUSTOMER-RECORD,X(15),15,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,265,NO,,NO,,,
CVCUS01Y,CUST-SSN,FIELD,9(09),NUMERIC,5,9,Customer's 9-digit Social Security Number,CUSTOMER-RECORD,999999999,9,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,280,NO,,NO,,,
CVCUS01Y,CUST-GOVT-ISSUED-ID,FIELD,X(20),ALPHANUMERIC,5,20,"Government-issued identification number or document reference, up to 20 characters",CUSTOMER-RECORD,X(20),20,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,289,NO,,NO,,,
CVCUS01Y,CUST-DOB-YYYY-MM-DD,FIELD,X(10),ALPHANUMERIC,5,10,Customer's date of birth in YYYY-MM-DD format,CUSTOMER-RECORD,X(10),10,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,309,NO,,NO,,,
CVCUS01Y,CUST-EFT-ACCOUNT-ID,FIELD,X(10),ALPHANUMERIC,5,10,"Electronic Funds Transfer account identifier, up to 10 characters",CUSTOMER-RECORD,X(10),10,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,319,NO,,NO,,,
CVCUS01Y,CUST-PRI-CARD-HOLDER-IND,FIELD,X(01),ALPHANUMERIC,5,1,Indicator flag to identify if customer is primary card holder (1 character),CUSTOMER-RECORD,X,1,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,329,NO,,NO,,,
CVCUS01Y,CUST-FICO-CREDIT-SCORE,FIELD,9(03),NUMERIC,5,3,"Customer's FICO credit score, 3-digit numeric value",CUSTOMER-RECORD,999,3,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,330,NO,,NO,,,
CVCUS01Y,FILLER-1,FIELD,X(168),ALPHANUMERIC,5,168,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CUSTOMER-RECORD,X(168),168,0,NO,DISPLAY,,,,,CUSTOMER-RECORD,333,NO,,NO,,,
