data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
CVEXPORT,EXPORT-RECORD,RECORD,N/A,GROUP,1,500,Main export record structure containing all record types for branch migration (Total Record Length: 500 bytes),EXPORT-RECORD,N/A,0,0,NO,DISPLAY,,,,,EXPORT-RECORD,1,NO,,NO,,,
CVEXPORT,EXPORT-REC-TYPE,FIELD,X(1),ALPHANUMERIC,5,1,Record type identifier to distinguish between different export record structures,EXPORT-RECORD,X,1,0,NO,DISPLAY,,,,,EXPORT-RECORD,1,NO,,NO,,,
CVEXPORT,EXPORT-TIMESTAMP,FIELD,X(26),ALPHANUMERIC,5,26,Full timestamp of when the export record was created,EXPORT-RECORD,X(26),26,0,NO,DISPLAY,,,,,EXPORT-RECORD,2,NO,,NO,,,
CVEXPORT,EXPORT-TIMESTAMP-R,GROUP,N/A,GROUP,5,26,Parsed timestamp structure (REDEFINES EXPORT-TIMESTAMP),EXPORT-RECORD,N/A,0,0,NO,DISPLAY,,,,EXPORT-TIMESTAMP,EXPORT-RECORD,2,NO,,NO,,,
CVEXPORT,EXPORT-DATE,FIELD,X(10),ALPHANUMERIC,10,10,Date portion of the export timestamp,EXPORT-TIMESTAMP-R,X(10),10,0,NO,DISPLAY,,,,,EXPORT-RECORD,2,NO,,NO,,,
CVEXPORT,EXPORT-DATE-TIME-SEP,FIELD,X(1),ALPHANUMERIC,10,1,Separator character between date and time components,EXPORT-TIMESTAMP-R,X,1,0,NO,DISPLAY,,,,,EXPORT-RECORD,12,NO,,NO,,,
CVEXPORT,EXPORT-TIME,FIELD,X(15),ALPHANUMERIC,10,15,Time portion of the export timestamp,EXPORT-TIMESTAMP-R,X(15),15,0,NO,DISPLAY,,,,,EXPORT-RECORD,13,NO,,NO,,,
CVEXPORT,EXPORT-SEQUENCE-NUM,FIELD,9(9) COMP,BINARY,5,4,Sequential number for ordering export records (USAGE COMP),EXPORT-RECORD,999999999,9,0,NO,COMP,,,,,EXPORT-RECORD,28,NO,,NO,,,
CVEXPORT,EXPORT-BRANCH-ID,FIELD,X(4),ALPHANUMERIC,5,4,Branch identifier for the originating branch location,EXPORT-RECORD,X(4),4,0,NO,DISPLAY,,,,,EXPORT-RECORD,32,NO,,NO,,,
CVEXPORT,EXPORT-REGION-CODE,FIELD,X(5),ALPHANUMERIC,5,5,Geographic region code for the branch,EXPORT-RECORD,X(5),5,0,NO,DISPLAY,,,,,EXPORT-RECORD,36,NO,,NO,,,
CVEXPORT,EXPORT-RECORD-DATA,FIELD,X(460),ALPHANUMERIC,5,460,Variable data area containing different record type structures,EXPORT-RECORD,X(460),460,0,NO,DISPLAY,,,,,EXPORT-RECORD,41,NO,,NO,,,
CVEXPORT,EXPORT-CUSTOMER-DATA,GROUP,N/A,GROUP,5,460,Customer information record structure (REDEFINES EXPORT-RECORD-DATA),EXPORT-RECORD,N/A,0,0,NO,DISPLAY,,,,EXPORT-RECORD-DATA,EXPORT-RECORD,41,NO,,NO,,,
CVEXPORT,EXP-CUST-ID,FIELD,9(09) COMP,BINARY,10,4,Unique customer identifier (USAGE COMP),EXPORT-CUSTOMER-DATA,999999999,9,0,NO,COMP,,,,,EXPORT-RECORD,41,NO,,NO,,,
CVEXPORT,EXP-CUST-FIRST-NAME,FIELD,X(25),ALPHANUMERIC,10,25,Customer's first name,EXPORT-CUSTOMER-DATA,X(25),25,0,NO,DISPLAY,,,,,EXPORT-RECORD,45,NO,,NO,,,
CVEXPORT,EXP-CUST-MIDDLE-NAME,FIELD,X(25),ALPHANUMERIC,10,25,Customer's middle name,EXPORT-CUSTOMER-DATA,X(25),25,0,NO,DISPLAY,,,,,EXPORT-RECORD,70,NO,,NO,,,
CVEXPORT,EXP-CUST-LAST-NAME,FIELD,X(25),ALPHANUMERIC,10,25,Customer's last name,EXPORT-CUSTOMER-DATA,X(25),25,0,NO,DISPLAY,,,,,EXPORT-RECORD,95,NO,,NO,,,
CVEXPORT,EXP-CUST-ADDR-LINES,GROUP,N/A,GROUP,10,50,Customer address lines group (OCCURS 3 TIMES),EXPORT-CUSTOMER-DATA,N/A,0,0,NO,DISPLAY,3,3,,,EXPORT-RECORD,120,NO,,NO,,,
CVEXPORT,EXP-CUST-ADDR-LINE,FIELD,X(50),ALPHANUMERIC,15,50,Individual address line for customer mailing address,EXP-CUST-ADDR-LINES,X(50),50,0,NO,DISPLAY,,,,,EXPORT-RECORD,120,NO,,NO,,,
CVEXPORT,EXP-CUST-ADDR-STATE-CD,FIELD,X(02),ALPHANUMERIC,10,2,Two-character state code for customer address,EXPORT-CUSTOMER-DATA,X(2),2,0,NO,DISPLAY,,,,,EXPORT-RECORD,270,NO,,NO,,,
CVEXPORT,EXP-CUST-ADDR-COUNTRY-CD,FIELD,X(03),ALPHANUMERIC,10,3,Three-character country code for customer address,EXPORT-CUSTOMER-DATA,X(3),3,0,NO,DISPLAY,,,,,EXPORT-RECORD,272,NO,,NO,,,
CVEXPORT,EXP-CUST-ADDR-ZIP,FIELD,X(10),ALPHANUMERIC,10,10,Postal zip code for customer address,EXPORT-CUSTOMER-DATA,X(10),10,0,NO,DISPLAY,,,,,EXPORT-RECORD,275,NO,,NO,,,
CVEXPORT,EXP-CUST-PHONE-NUMS,GROUP,N/A,GROUP,10,15,Customer phone numbers group (OCCURS 2 TIMES),EXPORT-CUSTOMER-DATA,N/A,0,0,NO,DISPLAY,2,2,,,EXPORT-RECORD,285,NO,,NO,,,
CVEXPORT,EXP-CUST-PHONE-NUM,FIELD,X(15),ALPHANUMERIC,15,15,Individual phone number for customer contact,EXP-CUST-PHONE-NUMS,X(15),15,0,NO,DISPLAY,,,,,EXPORT-RECORD,285,NO,,NO,,,
CVEXPORT,EXP-CUST-SSN,FIELD,9(09),NUMERIC,10,9,Customer's Social Security Number,EXPORT-CUSTOMER-DATA,999999999,9,0,NO,DISPLAY,,,,,EXPORT-RECORD,315,NO,,NO,,,
CVEXPORT,EXP-CUST-GOVT-ISSUED-ID,FIELD,X(20),ALPHANUMERIC,10,20,Government-issued identification number for customer,EXPORT-CUSTOMER-DATA,X(20),20,0,NO,DISPLAY,,,,,EXPORT-RECORD,324,NO,,NO,,,
CVEXPORT,EXP-CUST-DOB-YYYY-MM-DD,FIELD,X(10),ALPHANUMERIC,10,10,Customer's date of birth in YYYY-MM-DD format,EXPORT-CUSTOMER-DATA,X(10),10,0,NO,DISPLAY,,,,,EXPORT-RECORD,344,NO,,NO,,,
CVEXPORT,EXP-CUST-EFT-ACCOUNT-ID,FIELD,X(10),ALPHANUMERIC,10,10,Electronic Funds Transfer account identifier,EXPORT-CUSTOMER-DATA,X(10),10,0,NO,DISPLAY,,,,,EXPORT-RECORD,354,NO,,NO,,,
CVEXPORT,EXP-CUST-PRI-CARD-HOLDER-IND,FIELD,X(01),ALPHANUMERIC,10,1,Primary cardholder indicator flag,EXPORT-CUSTOMER-DATA,X,1,0,NO,DISPLAY,,,,,EXPORT-RECORD,364,NO,,NO,,,
CVEXPORT,EXP-CUST-FICO-CREDIT-SCORE,FIELD,9(03) COMP-3,PACKED,10,2,Customer's FICO credit score (USAGE COMP-3),EXPORT-CUSTOMER-DATA,999,3,0,NO,COMP-3,,,,,EXPORT-RECORD,365,NO,,NO,,,
CVEXPORT,FILLER-1,FIELD,X(134),ALPHANUMERIC,10,134,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",EXPORT-CUSTOMER-DATA,X(134),134,0,NO,DISPLAY,,,,,EXPORT-RECORD,367,NO,,NO,,,
CVEXPORT,EXPORT-ACCOUNT-DATA,GROUP,N/A,GROUP,5,460,Account information record structure (REDEFINES EXPORT-RECORD-DATA),EXPORT-RECORD,N/A,0,0,NO,DISPLAY,,,,EXPORT-RECORD-DATA,EXPORT-RECORD,41,NO,,NO,,,
CVEXPORT,EXP-ACCT-ID,FIELD,9(11),NUMERIC,10,11,Unique account identifier,EXPORT-ACCOUNT-DATA,99999999999,11,0,NO,DISPLAY,,,,,EXPORT-RECORD,41,NO,,NO,,,
CVEXPORT,EXP-ACCT-ACTIVE-STATUS,FIELD,X(01),ALPHANUMERIC,10,1,Account active status indicator,EXPORT-ACCOUNT-DATA,X,1,0,NO,DISPLAY,,,,,EXPORT-RECORD,52,NO,,NO,,,
CVEXPORT,EXP-ACCT-CURR-BAL,FIELD,S9(10)V99 COMP-3,PACKED,10,7,Current account balance (USAGE COMP-3),EXPORT-ACCOUNT-DATA,'+/-9999999999.99,14,2,YES,COMP-3,,,,,EXPORT-RECORD,53,NO,,NO,,,
CVEXPORT,EXP-ACCT-CREDIT-LIMIT,FIELD,S9(10)V99,DECIMAL,10,12,Maximum credit limit for the account,EXPORT-ACCOUNT-DATA,'+/-9999999999.99,14,2,YES,DISPLAY,,,,,EXPORT-RECORD,60,NO,,NO,,,
CVEXPORT,EXP-ACCT-CASH-CREDIT-LIMIT,FIELD,S9(10)V99 COMP-3,PACKED,10,7,Cash advance credit limit (USAGE COMP-3),EXPORT-ACCOUNT-DATA,'+/-9999999999.99,14,2,YES,COMP-3,,,,,EXPORT-RECORD,72,NO,,NO,,,
CVEXPORT,EXP-ACCT-OPEN-DATE,FIELD,X(10),ALPHANUMERIC,10,10,Date when the account was opened,EXPORT-ACCOUNT-DATA,X(10),10,0,NO,DISPLAY,,,,,EXPORT-RECORD,79,NO,,NO,,,
CVEXPORT,EXP-ACCT-EXPIRAION-DATE,FIELD,X(10),ALPHANUMERIC,10,10,Account expiration date,EXPORT-ACCOUNT-DATA,X(10),10,0,NO,DISPLAY,,,,,EXPORT-RECORD,89,NO,,NO,,,
CVEXPORT,EXP-ACCT-REISSUE-DATE,FIELD,X(10),ALPHANUMERIC,10,10,Date when the account was reissued,EXPORT-ACCOUNT-DATA,X(10),10,0,NO,DISPLAY,,,,,EXPORT-RECORD,99,NO,,NO,,,
CVEXPORT,EXP-ACCT-CURR-CYC-CREDIT,FIELD,S9(10)V99,DECIMAL,10,12,Current cycle credit amount,EXPORT-ACCOUNT-DATA,'+/-9999999999.99,14,2,YES,DISPLAY,,,,,EXPORT-RECORD,109,NO,,NO,,,
CVEXPORT,EXP-ACCT-CURR-CYC-DEBIT,FIELD,S9(10)V99 COMP,BINARY,10,8,Current cycle debit amount (USAGE COMP),EXPORT-ACCOUNT-DATA,'+/-9999999999.99,14,2,YES,COMP,,,,,EXPORT-RECORD,121,NO,,NO,,,
CVEXPORT,EXP-ACCT-ADDR-ZIP,FIELD,X(10),ALPHANUMERIC,10,10,Postal zip code for account billing address,EXPORT-ACCOUNT-DATA,X(10),10,0,NO,DISPLAY,,,,,EXPORT-RECORD,129,NO,,NO,,,
CVEXPORT,EXP-ACCT-GROUP-ID,FIELD,X(10),ALPHANUMERIC,10,10,Account group identifier for related accounts,EXPORT-ACCOUNT-DATA,X(10),10,0,NO,DISPLAY,,,,,EXPORT-RECORD,139,NO,,NO,,,
CVEXPORT,FILLER-2,FIELD,X(352),ALPHANUMERIC,10,352,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",EXPORT-ACCOUNT-DATA,X(352),352,0,NO,DISPLAY,,,,,EXPORT-RECORD,149,NO,,NO,,,
CVEXPORT,EXPORT-TRANSACTION-DATA,GROUP,N/A,GROUP,5,460,Transaction information record structure (REDEFINES EXPORT-RECORD-DATA),EXPORT-RECORD,N/A,0,0,NO,DISPLAY,,,,EXPORT-RECORD-DATA,EXPORT-RECORD,41,NO,,NO,,,
CVEXPORT,EXP-TRAN-ID,FIELD,X(16),ALPHANUMERIC,10,16,Unique transaction identifier,EXPORT-TRANSACTION-DATA,X(16),16,0,NO,DISPLAY,,,,,EXPORT-RECORD,41,NO,,NO,,,
CVEXPORT,EXP-TRAN-TYPE-CD,FIELD,X(02),ALPHANUMERIC,10,2,Transaction type code,EXPORT-TRANSACTION-DATA,X(2),2,0,NO,DISPLAY,,,,,EXPORT-RECORD,57,NO,,NO,,,
CVEXPORT,EXP-TRAN-CAT-CD,FIELD,9(04),NUMERIC,10,4,Transaction category code,EXPORT-TRANSACTION-DATA,9999,4,0,NO,DISPLAY,,,,,EXPORT-RECORD,59,NO,,NO,,,
CVEXPORT,EXP-TRAN-SOURCE,FIELD,X(10),ALPHANUMERIC,10,10,Source system or channel of the transaction,EXPORT-TRANSACTION-DATA,X(10),10,0,NO,DISPLAY,,,,,EXPORT-RECORD,63,NO,,NO,,,
CVEXPORT,EXP-TRAN-DESC,FIELD,X(100),ALPHANUMERIC,10,100,Detailed description of the transaction,EXPORT-TRANSACTION-DATA,X(100),100,0,NO,DISPLAY,,,,,EXPORT-RECORD,73,NO,,NO,,,
CVEXPORT,EXP-TRAN-AMT,FIELD,S9(09)V99 COMP-3,PACKED,10,6,Transaction amount (USAGE COMP-3),EXPORT-TRANSACTION-DATA,'+/-999999999.99,13,2,YES,COMP-3,,,,,EXPORT-RECORD,173,NO,,NO,,,
CVEXPORT,EXP-TRAN-MERCHANT-ID,FIELD,9(09) COMP,BINARY,10,4,Unique merchant identifier (USAGE COMP),EXPORT-TRANSACTION-DATA,999999999,9,0,NO,COMP,,,,,EXPORT-RECORD,179,NO,,NO,,,
CVEXPORT,EXP-TRAN-MERCHANT-NAME,FIELD,X(50),ALPHANUMERIC,10,50,Name of the merchant where transaction occurred,EXPORT-TRANSACTION-DATA,X(50),50,0,NO,DISPLAY,,,,,EXPORT-RECORD,183,NO,,NO,,,
CVEXPORT,EXP-TRAN-MERCHANT-CITY,FIELD,X(50),ALPHANUMERIC,10,50,City location of the merchant,EXPORT-TRANSACTION-DATA,X(50),50,0,NO,DISPLAY,,,,,EXPORT-RECORD,233,NO,,NO,,,
CVEXPORT,EXP-TRAN-MERCHANT-ZIP,FIELD,X(10),ALPHANUMERIC,10,10,Postal zip code of the merchant location,EXPORT-TRANSACTION-DATA,X(10),10,0,NO,DISPLAY,,,,,EXPORT-RECORD,283,NO,,NO,,,
CVEXPORT,EXP-TRAN-CARD-NUM,FIELD,X(16),ALPHANUMERIC,10,16,Card number used for the transaction,EXPORT-TRANSACTION-DATA,X(16),16,0,NO,DISPLAY,,,,,EXPORT-RECORD,293,NO,,NO,,,
CVEXPORT,EXP-TRAN-ORIG-TS,FIELD,X(26),ALPHANUMERIC,10,26,Original timestamp when transaction was initiated,EXPORT-TRANSACTION-DATA,X(26),26,0,NO,DISPLAY,,,,,EXPORT-RECORD,309,NO,,NO,,,
CVEXPORT,EXP-TRAN-PROC-TS,FIELD,X(26),ALPHANUMERIC,10,26,Processing timestamp when transaction was completed,EXPORT-TRANSACTION-DATA,X(26),26,0,NO,DISPLAY,,,,,EXPORT-RECORD,335,NO,,NO,,,
CVEXPORT,FILLER-3,FIELD,X(140),ALPHANUMERIC,10,140,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",EXPORT-TRANSACTION-DATA,X(140),140,0,NO,DISPLAY,,,,,EXPORT-RECORD,361,NO,,NO,,,
