data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
CVTRA05Y,TRAN-RECORD,RECORD,N/A,GROUP,1,350,Group item containing complete transaction record structure with a record length of 350 bytes,TRAN-RECORD,N/A,0,0,NO,DISPLAY,,,,,TRAN-RECORD,1,NO,,NO,,,
CVTRA05Y,TRAN-ID,FIELD,X(16),ALPHANUMERIC,5,16,Unique transaction identifier (PIC X(16)),TRAN-RECORD,X(16),16,0,NO,DISPLAY,,,,,TRAN-RECORD,1,NO,,NO,,,
CVTRA05Y,TRAN-TYPE-CD,FIELD,X(02),ALPHANUMERIC,5,2,Transaction type code indicating the category or classification of the transaction (PIC X(02)),TRAN-RECORD,X(2),2,0,NO,DISPLAY,,,,,TRAN-RECORD,17,NO,,NO,,,
CVTRA05Y,TRAN-CAT-CD,FIELD,9(04),NUMERIC,5,4,Transaction category code for further classification of transaction types (PIC 9(04)),TRAN-RECORD,9999,4,0,NO,DISPLAY,,,,,TRAN-RECORD,19,NO,,NO,,,
CVTRA05Y,TRAN-SOURCE,FIELD,X(10),ALPHANUMERIC,5,10,Source system or channel from which the transaction originated (PIC X(10)),TRAN-RECORD,X(10),10,0,NO,DISPLAY,,,,,TRAN-RECORD,23,NO,,NO,,,
CVTRA05Y,TRAN-DESC,FIELD,X(100),ALPHANUMERIC,5,100,Detailed description of the transaction providing additional context and information (PIC X(100)),TRAN-RECORD,X(100),100,0,NO,DISPLAY,,,,,TRAN-RECORD,33,NO,,NO,,,
CVTRA05Y,TRAN-AMT,FIELD,S9(09)V99,DECIMAL,5,11,"Transaction amount in dollars and cents, signed numeric value (PIC S9(09)V99)",TRAN-RECORD,'+/-999999999.99,13,2,YES,DISPLAY,,,,,TRAN-RECORD,133,NO,,NO,,,
CVTRA05Y,TRAN-MERCHANT-ID,FIELD,9(09),NUMERIC,5,9,Unique numeric identifier for the merchant where the transaction occurred (PIC 9(09)),TRAN-RECORD,999999999,9,0,NO,DISPLAY,,,,,TRAN-RECORD,144,NO,,NO,,,
CVTRA05Y,TRAN-MERCHANT-NAME,FIELD,X(50),ALPHANUMERIC,5,50,Name of the merchant or business establishment where the transaction took place (PIC X(50)),TRAN-RECORD,X(50),50,0,NO,DISPLAY,,,,,TRAN-RECORD,153,NO,,NO,,,
CVTRA05Y,TRAN-MERCHANT-CITY,FIELD,X(50),ALPHANUMERIC,5,50,City location of the merchant where the transaction was processed (PIC X(50)),TRAN-RECORD,X(50),50,0,NO,DISPLAY,,,,,TRAN-RECORD,203,NO,,NO,,,
CVTRA05Y,TRAN-MERCHANT-ZIP,FIELD,X(10),ALPHANUMERIC,5,10,Postal zip code of the merchant location (PIC X(10)),TRAN-RECORD,X(10),10,0,NO,DISPLAY,,,,,TRAN-RECORD,253,NO,,NO,,,
CVTRA05Y,TRAN-CARD-NUM,FIELD,X(16),ALPHANUMERIC,5,16,Credit or debit card number used for the transaction (PIC X(16)),TRAN-RECORD,X(16),16,0,NO,DISPLAY,,,,,TRAN-RECORD,263,NO,,NO,,,
CVTRA05Y,TRAN-ORIG-TS,FIELD,X(26),ALPHANUMERIC,5,26,Original timestamp when the transaction was initiated or created (PIC X(26)),TRAN-RECORD,X(26),26,0,NO,DISPLAY,,,,,TRAN-RECORD,279,NO,,NO,,,
CVTRA05Y,TRAN-PROC-TS,FIELD,X(26),ALPHANUMERIC,5,26,Processing timestamp when the transaction was processed by the system (PIC X(26)),TRAN-RECORD,X(26),26,0,NO,DISPLAY,,,,,TRAN-RECORD,305,NO,,NO,,,
CVTRA05Y,FILLER-1,FIELD,X(20),ALPHANUMERIC,5,20,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",TRAN-RECORD,X(20),20,0,NO,DISPLAY,,,,,TRAN-RECORD,331,NO,,NO,,,
