data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges
CSDB2RWY,WS-DB2-COMMON-VARS,GROUP,N/A,GROUP,5,81,Group item containing common variables for DB2 database operations and error handling,WS-DB2-COMMON-VARS,N/A,0,0,NO,DISPLAY,,,,,CSDB2RWY,1,NO,,NO,,,
CSDB2RWY,WS-DISP-SQLCODE,FIELD,'----9,NUMERIC,10,5,Display format for DB2 SQLCODE return value used for error checking and reporting,WS-DB2-COMMON-VARS,'----9,5,0,YES,DISPLAY,,,,,CSDB2RWY,1,NO,,NO,,,
CSDB2RWY,WS-DUMMY-DB2-INT,FIELD,S9(4) COMP-3,PACKED,10,3,Dummy integer field for DB2 processing initialization (USAGE COMP-3) (VALUE 0),WS-DB2-COMMON-VARS,'+/-9999,5,0,YES,COMP-3,,,,,CSDB2RWY,6,NO,,NO,0,,
CSDB2RWY,WS-DB2-PROCESSING-FLAG,FIELD,X(1),ALPHANUMERIC,10,1,Flag indicating the status of DB2 processing operations,WS-DB2-COMMON-VARS,X,1,0,NO,DISPLAY,,,,,CSDB2RWY,9,NO,,NO,,,
CSDB2RWY,WS-DB2-OK,CONDITION,N/A,DISPLAY,88,0,Condition indicating successful DB2 operation completion (VALUE '0'),WS-DB2-PROCESSING-FLAG,N/A,0,0,NO,DISPLAY,,,,,CSDB2RWY,9,NO,,NO,,'0',
CSDB2RWY,WS-DB2-ERROR,CONDITION,N/A,DISPLAY,88,0,Condition indicating DB2 operation encountered an error (VALUE '1'),WS-DB2-PROCESSING-FLAG,N/A,0,0,NO,DISPLAY,,,,,CSDB2RWY,9,NO,,NO,,'1',
CSDB2RWY,WS-DB2-CURRENT-ACTION,FIELD,X(72),ALPHANUMERIC,10,72,Description of the current DB2 action being performed for logging and error reporting (VALUE SPACES),WS-DB2-COMMON-VARS,X(72),72,0,NO,DISPLAY,,,,,CSDB2RWY,10,NO,,NO,SPACES,,
CSDB2RWY,WS-DSNTIAC-FORMATTED,GROUP,N/A,GROUP,5,722,Group item for formatting DB2 DSNTIAC utility messages,WS-DSNTIAC-FORMATTED,N/A,0,0,NO,DISPLAY,,,,,CSDB2RWY,82,NO,,NO,,,
CSDB2RWY,WS-DSNTIAC-MESG-LEN,FIELD,S9(4) COMP,BINARY,10,2,Length of the DSNTIAC formatted message text (USAGE COMP) (VALUE +720),WS-DSNTIAC-FORMATTED,'+/-9999,5,0,YES,COMP,,,,,CSDB2RWY,82,NO,,NO,'+720,,
CSDB2RWY,WS-DSNTIAC-FMTD-TEXT,GROUP,N/A,GROUP,10,720,Container for formatted DSNTIAC message text lines,WS-DSNTIAC-FORMATTED,N/A,0,0,NO,DISPLAY,,,,,CSDB2RWY,84,NO,,NO,,,
CSDB2RWY,WS-DSNTIAC-FMTD-TEXT-LINE,FIELD,X(72),ALPHANUMERIC,15,72,Individual line of DSNTIAC formatted message text (OCCURS 10) (VALUE SPACES),WS-DSNTIAC-FMTD-TEXT,X(72),72,0,NO,DISPLAY,10,10,,,CSDB2RWY,84,NO,,NO,SPACES,,
CSDB2RWY,WS-DSNTIAC-LRECL,FIELD,S9(4) COMP,BINARY,5,2,Logical record length for DSNTIAC message processing (USAGE COMP) (VALUE +72),WS-DSNTIAC-LRECL,'+/-9999,5,0,YES,COMP,,,,,CSDB2RWY,804,NO,,NO,'+72,,
CSDB2RWY,WS-DSNTIAC-ERROR,GROUP,N/A,GROUP,5,12,Group item for DSNTIAC error message construction,WS-DSNTIAC-ERROR,N/A,0,0,NO,DISPLAY,,,,,CSDB2RWY,806,NO,,NO,,,
CSDB2RWY,WS-DSNTIAC-ERR-MSG,FIELD,X(10),ALPHANUMERIC,10,10,DSNTIAC error message prefix identifier (VALUE 'DSNTIAC CD'),WS-DSNTIAC-ERROR,X(10),10,0,NO,DISPLAY,,,,,CSDB2RWY,806,NO,,NO,'DSNTIAC CD',,
CSDB2RWY,WS-DSNTIAC-ERR-CD-X,FIELD,X(02),ALPHANUMERIC,10,2,Error code in character format (VALUE SPACES),WS-DSNTIAC-ERROR,X(2),2,0,NO,DISPLAY,,,,,CSDB2RWY,816,NO,,NO,SPACES,,
CSDB2RWY,WS-DSNTIAC-ERR-CD,FIELD,9(02),NUMERIC,10,2,Error code in numeric format (REDEFINES WS-DSNTIAC-ERR-CD-X),WS-DSNTIAC-ERROR,99,2,0,NO,DISPLAY,,,,WS-DSNTIAC-ERR-CD-X,CSDB2RWY,816,NO,,NO,,,
CSDB2RPY,PRIMING-QUERY,GROUP,N/A,GROUP,9998,0,,PRIMING-QUERY,N/A,0,0,NO,DISPLAY,,,,,CSDB2RPY,1,NO,,NO,,,
CSDB2RPY,INTO,RECORD,N/A,GROUP,1,0,,INTO,N/A,0,0,NO,DISPLAY,,,,,INTO,1,NO,,NO,,,
CSDB2RPY,ROW,RECORD,N/A,GROUP,1,0,,ROW,N/A,0,0,NO,DISPLAY,,,,,ROW,1,NO,,NO,,,
CSDB2RPY,PRIMING-QUERY-EXIT,GROUP,N/A,GROUP,9998,0,,ROW,N/A,0,0,NO,DISPLAY,,,,,ROW,1,NO,,NO,,,
COTRTLI,CTRTLIAI,RECORD,N/A,GROUP,1,1044,Main input/output structure for transaction list screen containing transaction type selection and display fields,CTRTLIAI,N/A,0,0,NO,DISPLAY,,,,,CTRTLIAI,1,NO,,NO,,,
COTRTLI,FILLER-1,FIELD,X(12),ALPHANUMERIC,2,12,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTLIAI,X(12),12,0,NO,DISPLAY,,,,,CTRTLIAI,1,NO,,NO,,,
COTRTLI,TRNNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for transaction name (USAGE COMP),CTRTLIAI,'+/-9999,5,0,YES,COMP,,,,,CTRTLIAI,13,NO,,NO,,,
COTRTLI,TRNNAMEF,FIELD,X,ALPHANUMERIC,2,1,Flag field for transaction name,CTRTLIAI,X,1,0,NO,DISPLAY,,,,,CTRTLIAI,15,NO,,NO,,,
COTRTLI,FILLER-2,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTLIAI,N/A,0,0,NO,DISPLAY,,,,TRNNAMEF,CTRTLIAI,15,NO,,NO,,,
COTRTLI,TRNNAMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute field for transaction name (REDEFINES TRNNAMEF),FILLER-2,X,1,0,NO,DISPLAY,,,,,CTRTLIAI,15,NO,,NO,,,
COTRTLI,FILLER-3,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTLIAI,X(4),4,0,NO,DISPLAY,,,,,CTRTLIAI,16,NO,,NO,,,
COTRTLI,TRNNAMEI,FIELD,X(4),ALPHANUMERIC,2,4,Transaction name input field - 4 character transaction identifier,CTRTLIAI,X(4),4,0,NO,DISPLAY,,,,,CTRTLIAI,20,NO,,NO,,,
COTRTLI,TITLE01L,FIELD,S9(4) COMP,BINARY,2,2,Length field for first title line (USAGE COMP),CTRTLIAI,'+/-9999,5,0,YES,COMP,,,,,CTRTLIAI,24,NO,,NO,,,
COTRTLI,TITLE01F,FIELD,X,ALPHANUMERIC,2,1,Flag field for first title line,CTRTLIAI,X,1,0,NO,DISPLAY,,,,,CTRTLIAI,26,NO,,NO,,,
COTRTLI,FILLER-4,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTLIAI,N/A,0,0,NO,DISPLAY,,,,TITLE01F,CTRTLIAI,26,NO,,NO,,,
COTRTLI,TITLE01A,FIELD,X,ALPHANUMERIC,3,1,Attribute field for first title line (REDEFINES TITLE01F),FILLER-4,X,1,0,NO,DISPLAY,,,,,CTRTLIAI,26,NO,,NO,,,
COTRTLI,FILLER-5,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTLIAI,X(4),4,0,NO,DISPLAY,,,,,CTRTLIAI,27,NO,,NO,,,
COTRTLI,TITLE01I,FIELD,X(40),ALPHANUMERIC,2,40,First title line input field - 40 character screen title,CTRTLIAI,X(40),40,0,NO,DISPLAY,,,,,CTRTLIAI,31,NO,,NO,,,
COTRTLI,CURDATEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for current date (USAGE COMP),CTRTLIAI,'+/-9999,5,0,YES,COMP,,,,,CTRTLIAI,71,NO,,NO,,,
COTRTLI,CURDATEF,FIELD,X,ALPHANUMERIC,2,1,Flag field for current date,CTRTLIAI,X,1,0,NO,DISPLAY,,,,,CTRTLIAI,73,NO,,NO,,,
COTRTLI,FILLER-6,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTLIAI,N/A,0,0,NO,DISPLAY,,,,CURDATEF,CTRTLIAI,73,NO,,NO,,,
COTRTLI,CURDATEA,FIELD,X,ALPHANUMERIC,3,1,Attribute field for current date (REDEFINES CURDATEF),FILLER-6,X,1,0,NO,DISPLAY,,,,,CTRTLIAI,73,NO,,NO,,,
COTRTLI,FILLER-7,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTLIAI,X(4),4,0,NO,DISPLAY,,,,,CTRTLIAI,74,NO,,NO,,,
COTRTLI,CURDATEI,FIELD,X(8),ALPHANUMERIC,2,8,Current date input field - 8 character date value,CTRTLIAI,X(8),8,0,NO,DISPLAY,,,,,CTRTLIAI,78,NO,,NO,,,
COTRTLI,PGMNAMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for program name (USAGE COMP),CTRTLIAI,'+/-9999,5,0,YES,COMP,,,,,CTRTLIAI,86,NO,,NO,,,
COTRTLI,PGMNAMEF,FIELD,X,ALPHANUMERIC,2,1,Flag field for program name,CTRTLIAI,X,1,0,NO,DISPLAY,,,,,CTRTLIAI,88,NO,,NO,,,
COTRTLI,FILLER-8,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTLIAI,N/A,0,0,NO,DISPLAY,,,,PGMNAMEF,CTRTLIAI,88,NO,,NO,,,
COTRTLI,PGMNAMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute field for program name (REDEFINES PGMNAMEF),FILLER-8,X,1,0,NO,DISPLAY,,,,,CTRTLIAI,88,NO,,NO,,,
COTRTLI,FILLER-9,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTLIAI,X(4),4,0,NO,DISPLAY,,,,,CTRTLIAI,89,NO,,NO,,,
COTRTLI,PGMNAMEI,FIELD,X(8),ALPHANUMERIC,2,8,Program name input field - 8 character program identifier,CTRTLIAI,X(8),8,0,NO,DISPLAY,,,,,CTRTLIAI,93,NO,,NO,,,
COTRTLI,TITLE02L,FIELD,S9(4) COMP,BINARY,2,2,Length field for second title line (USAGE COMP),CTRTLIAI,'+/-9999,5,0,YES,COMP,,,,,CTRTLIAI,101,NO,,NO,,,
COTRTLI,TITLE02F,FIELD,X,ALPHANUMERIC,2,1,Flag field for second title line,CTRTLIAI,X,1,0,NO,DISPLAY,,,,,CTRTLIAI,103,NO,,NO,,,
COTRTLI,FILLER-10,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTLIAI,N/A,0,0,NO,DISPLAY,,,,TITLE02F,CTRTLIAI,103,NO,,NO,,,
COTRTLI,TITLE02A,FIELD,X,ALPHANUMERIC,3,1,Attribute field for second title line (REDEFINES TITLE02F),FILLER-10,X,1,0,NO,DISPLAY,,,,,CTRTLIAI,103,NO,,NO,,,
COTRTLI,FILLER-11,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTLIAI,X(4),4,0,NO,DISPLAY,,,,,CTRTLIAI,104,NO,,NO,,,
COTRTLI,TITLE02I,FIELD,X(40),ALPHANUMERIC,2,40,Second title line input field - 40 character subtitle,CTRTLIAI,X(40),40,0,NO,DISPLAY,,,,,CTRTLIAI,108,NO,,NO,,,
COTRTLI,CURTIMEL,FIELD,S9(4) COMP,BINARY,2,2,Length field for current time (USAGE COMP),CTRTLIAI,'+/-9999,5,0,YES,COMP,,,,,CTRTLIAI,148,NO,,NO,,,
COTRTLI,CURTIMEF,FIELD,X,ALPHANUMERIC,2,1,Flag field for current time,CTRTLIAI,X,1,0,NO,DISPLAY,,,,,CTRTLIAI,150,NO,,NO,,,
COTRTLI,FILLER-12,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTLIAI,N/A,0,0,NO,DISPLAY,,,,CURTIMEF,CTRTLIAI,150,NO,,NO,,,
COTRTLI,CURTIMEA,FIELD,X,ALPHANUMERIC,3,1,Attribute field for current time (REDEFINES CURTIMEF),FILLER-12,X,1,0,NO,DISPLAY,,,,,CTRTLIAI,150,NO,,NO,,,
COTRTLI,FILLER-13,FIELD,X(4),ALPHANUMERIC,2,4,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTLIAI,X(4),4,0,NO,DISPLAY,,,,,CTRTLIAI,151,NO,,NO,,,
COTRTLI,CURTIMEI,FIELD,X(8),ALPHANUMERIC,2,8,Current time input field - 8 character time value,CTRTLIAI,X(8),8,0,NO,DISPLAY,,,,,CTRTLIAI,155,NO,,NO,,,
COTRTLI,PAGENOL,FIELD,S9(4) COMP,BINARY,2,2,Length field for page number (USAGE COMP),CTRTLIAI,'+/-9999,5,0,YES,COMP,,,,,CTRTLIAI,163,NO,,NO,,,
COTRTLI,PAGENOF,FIELD,X,ALPHANUMERIC,2,1,Flag field for page number,CTRTLIAI,X,1,0,NO,DISPLAY,,,,,CTRTLIAI,165,NO,,NO,,,
COTRTLI,FILLER-14,GROUP,N/A,GROUP,2,1,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",CTRTLIAI,N/A,0,0,NO,DISPLAY,,,,PAGENOF,CTRTLIAI,165,NO,,NO,,,
